# 2016 RORC Mainseries IRC Three - De Guingand Bowl Race (Sat 14 May 16 10:00:00) - 19 boats - https://www.rorc.org/raceresults/2016/three05.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,99,FRA43645,Dream Pearls,JPK 10.80,Arnaud Delamare and Eric Mordret,Arnaud Delamare / Eric Mordret,105 in 15 May - 06:11:10,105 in 20:11:10,1.042,105 in 21:02:02,
2,93,GBR888X,Sunrise,JPK 10.80,Tom Kneen,Thomas Kneen,105 in 15 May - 06:28:07,105 in 20:28:07,1.046,105 in 21:24:37,
3,89,IRL725,Bengal Magic,J/35,Knight Build Ltd,James Chalmers,105 in 15 May - 07:07:09,105 in 21:07:09,1.016,105 in 21:27:25,
4,85,GBR3789L,Just Plain Krazy,Jpk 10.10,Stephen Hills,Ian Knight,105 in 15 May - 07:17:20,105 in 21:17:20,1.008,105 in 21:27:33,
5,82,FRA38902,Raging Bee,JPK 10.10,Louis-Marie Dussere,2H,105 in 15 May - 07:30:44,105 in 21:30:44,1.006,105 in 21:38:29,
6,79,FRA43791,Shaitan,JPK 10.80,Jean-Eudes Renier,2H,105 in 15 May - 07:08:36,105 in 21:08:36,1.042,105 in 22:01:53,
7,77,FRA38418,Audrey,JPK 10.80,Michael Boyd,,105 in 15 May - 07:23:03,105 in 21:23:03,1.043,105 in 22:18:13,
8,75,GBR5936R,Game On,Sun Fast 3600,Ian Hoddle,2H,105 in 15 May - 07:28:50,105 in 21:28:50,1.040,105 in 22:20:23,
9,73,GBR7735R,Eaujet,A35,Richard Elliott,,105 in 15 May - 07:57:17,105 in 21:57:17,1.024,105 in 22:28:54,
10,71,GBR979R,Malice,HOD 35,Mike Moxley,,105 in 15 May - 08:04:19,105 in 22:04:19,1.022,105 in 22:33:27,
11,69,GBR9205R,Diablo-j,J/105,Nick Martin,2H,105 in 15 May - 08:29:15,105 in 22:29:15,1.005,105 in 22:36:00,
12,67,GBR6709R,J-T'Aime,J/109,Christopher Palmer,,105 in 15 May - 08:30:32,105 in 22:30:32,1.011,105 in 22:45:23,
13,65,FRA37842,Major Tom,Dufour 36 P,Fabrice Tropres,,105 in 15 May - 08:13:27,105 in 22:13:27,1.033,105 in 22:57:27,
14,64,GBR4545N,Fortify,Sun Fast 3200,Simon Brady,2H,105 in 15 May - 08:54:24,105 in 22:54:24,1.004,105 in 22:59:54,
15,63,GBR3657L,Bellino,Sun Fast 3600,Rob Craigie,2H,105 in 15 May - 08:14:50,105 in 22:14:50,1.039,105 in 23:06:54,
16,62,GBR8809R,Mojo risin',J/109,J/109 Racing Limited,Rob Cotterill,105 in 15 May - 08:56:39,105 in 22:56:39,1.009,105 in 23:09:02,
17,61,GBR795R,Ninjod,Sun Fast 3600,Paul Brant,2H,105 in 15 May - 08:27:21,105 in 22:27:21,1.037,105 in 23:17:12,
18,60,GBR7041R,Anticipation,First 40.7,Peter Newlands,,105 in 15 May - 08:28:23,105 in 22:28:23,1.038,105 in 23:19:37,
19,59,GBR8380R,Elixir,Elan 380,Felicity Gabbay,2H,105 in 15 May - 09:08:38,105 in 23:08:38,1.027,105 in 23:46:08,
