# 2021 RORC Mainseries IRC Four - De Guingand Bowl Race (Sat 26 Jun 21 08:00:00) - 21 boats - https://www.rorc.org/raceresults/2021/four06.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,GBR123,Xara,Swan 38 S/R,Jonathan Rolls,,27 Jun - 07:17:40,23:17:40,0.919,21:24:27,
2,94,GBR8338,With Alacrity,Sigma 38,Chris Choules,,27 Jun - 06:23:37,22:23:37,0.970,21:43:18,
3,90,FRA38895,Gioia,JPK 1010,Emmanuel Pinteaux,Etienne Pinteaux,27 Jun - 06:05:24,22:05:24,0.999,22:04:04,
4,86,GBR958R,Jangada,JPK 1010,Richard Palmer,Richard Palmer & Jeremy Waitt,27 Jun - 06:12:37,22:12:37,1.001,22:13:57,
5,83,GBR586,ATV,Contessa 32,Roger Shapland,Roger Shapland & Mark Himsworth,27 Jun - 09:45:08,1 - 01:45:08,0.875,22:32:00,
6,80,GBR529R,Just So,J/109,David McGough,William McGough & Christian Jeffery,27 Jun - 06:33:08,22:33:08,1.003,22:37:12,
7,78,GBR26R,Morning After,S&S 34,Stuart Greenfield,Stuart Greenfield & Louise Clayton,27 Jun - 08:33:32,1 - 00:33:32,0.933,22:54:48,
8,76,GBR815,Longue Pierre,Dehler 38,D Cooper & P England,David Cooper,27 Jun - 07:50:20,23:50:20,0.962,22:55:59,
9,74,BEL629,Lecas,Contessa 32,Christophe Declercq,,27 Jun - 10:44:30,1 - 02:44:30,0.864,23:06:17,
10,72,GBR1652R,Ithaka,Swan 44,Giovanni Mazzocchi,Kenneth Brougher,27 Jun - 07:11:49,23:11:49,1.001,23:13:13,
11,70,FRA3333,Shortgood,First Class 10,Renaud Courbon and Emmanuel Winsback,Renaud Courbon,27 Jun - 07:38:31,23:38:31,0.985,23:17:14,
12,68,GBR590K,Colemere,Contessa 32,Rob Windsor,Rob Windsor & Stephen Davies,27 Jun - 10:32:54,1 - 02:32:54,0.878,23:18:34,
13,66,GBR543R,Serena J,J/109,Tim Wright,Tim Wright & Clive Crosby,27 Jun - 07:32:11,23:32:11,1.003,23:36:25,
14,65,GBR8932R,Full Circle,Sun Fast 3200,Ian Lloyd,,27 Jun - 07:43:36,23:43:36,1.002,23:46:27,
15,64,GBR1174L,Taika,J/105,Stuart Rhys-williams,Stuart Rhys-Williams & Antonio Martinez,27 Jun - 07:48:42,23:48:42,0.999,23:47:16,
16,63,GBR923R,Skadi,Bowman 44,Michael Greville,,27 Jun - 08:32:40,1 - 00:32:40,1.003,1 - 00:37:05,
17,62,GBR4110L,Kiswala,Swan 411,Stephen Brookson,,27 Jun - 09:04:13,1 - 01:04:13,0.991,1 - 00:50:41,
18,61,FRA43653,Nirvana,Sun Fast 3200,Keith Thompson,Keith Thompson & Albert Barber,27 Jun - 09:16:07,1 - 01:16:07,0.993,1 - 01:05:30,
19,60,GBR3907,Sundance,Sigma 36,Alistair Cooke,,27 Jun - 13:11:30,1 - 05:11:30,0.949,1 - 03:42:10,
,10,GBR4792L,Spirit Of St George II,Elan 394,Stuart Southwick,Mark Jones,,,0.929,,DNF-Did Not Finish
,10,FRA35829,Cora,Sun Fast 3200,Nigel Goodhew,Nigel Goodhew & Mark Heuchan,,,0.997,,DNF-Did Not Finish
