# 2012 RORC Easter Challenge IRC Three - Entries: 13      Races Sailed: 6 (None) - 13 boats - https://www.rorc.org/raceresults/2012/rec-threeos.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
,,GBR1010N,Mat 1010,Mat 1010,Peter Morton,,,,1.042,,
,,GBR1242R,Yeoman of Wight,J/109,British Keelboat Academy,,,,1.029,,
,,GBR1250N,Strait Dealer,JPK 1010,David Franks,Graham Sunderland,,,1.014,,
,,GBR1466,Diamond Jem,J/109,Robert Stiles,,,,1.020,,
,,GBR7901R,Basic Instinct,J/109,Jonathan Hearth,,,,1.015,,
,,GBR2709R,Jumping Jellyfish,J/109,David Richards,,,,1.014,,
,,GBR979R,Malice,HOD 35,Mike Moxley,,,,1.026,,
,,GBR1509R,JIBE,J/109,Robin Taunt,,,,1.014,,
,,GBR2986L,Jubilee,J/109,Tony Dickin,Jonathan Allatt,,,1.037,,
,,GBR5809R,Jelenko,J/109,Jonathan Bevan,,,,1.011,,
,,GBR1132L,Alaris,Dehler 36,John Howell,,,,1.008,,
,,GBR73R,Salvo,Corby 33,Peter Morton,James Wilson,,,1.045,,
,,GBR3111N,Mostly Harmless,J/105,Tom Hayhoe,,,,1.018,,
