# 2019 RORC Mainseries IRC Two - Myth of Malham Race (Sat 25 May 19 08:45:00) - 29 boats - https://www.rorc.org/raceresults/2019/two04.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,FRA53037,Courrier Recommandé,JPK 11.80,Gery Trentesaux,,26 May - 19:30:22,1 - 10:45:22,1.098,1 - 14:09:44,
2,94,FRA38568,Pintia,J/133,Gilles Fournier / Corinne Migraine,Corinne Migraine,26 May - 19:53:56,1 - 11:08:56,1.090,1 - 14:18:44,
3,90,GBR7122X,Juno,J/122e,Christopher Daniel,,26 May - 20:11:21,1 - 11:26:21,1.088,1 - 14:33:28,
4,86,FRA35800,Iritis,First 40,Herve Benic,,26 May - 22:19:30,1 - 13:34:30,1.072,1 - 16:16:49,
5,83,GBR4013R,Sailplane,First 40,Rob Bottomley,Catherine and Patrick Keohane,26 May - 22:23:50,1 - 13:38:50,1.081,1 - 16:41:48,
6,80,GBR888X,Sunrise,JPK 11.80,Thomas Kneen,,26 May - 21:51:38,1 - 13:06:38,1.099,1 - 16:47:04,
7,78,GBR914R,Tigris,Sun Fast 3600,Gavin Howe,Gavin Howe and Sam Cooper,26 May - 23:35:41,1 - 14:50:41,1.053,1 - 16:54:13,
8,76,FRA72,Champagne,Figaro II,Marc Noel,Marc Noel,26 May - 23:30:48,1 - 14:45:48,1.057,1 - 16:58:22,
9,74,GBR9922T,R&W,J/122,Andy Theobald,,26 May - 23:04:10,1 - 14:19:10,1.080,1 - 17:23:06,
10,72,GBR7041R,Anticipation,First 40.7,Peter Newlands,,27 May - 00:29:11,1 - 15:44:11,1.052,1 - 17:48:10,
11,70,GBR2722R,Jolly Jellyfish,J/122,David Richards,Seaventus Russian Offshore Racing Club,26 May - 23:43:22,1 - 14:58:22,1.079,1 - 18:03:06,
12,68,GBR7951R,Skylander,First 40,Yuri Fadeev,,26 May - 23:53:48,1 - 15:08:48,1.079,1 - 18:14:21,
13,66,GBR7408R,Arthur Logic,First 40,Sailing Logic,Richard Oswald,27 May - 00:22:20,1 - 15:37:20,1.068,1 - 18:19:00,
14,65,GBR8405R,Olympia's Tigress,First 40,Susan Glenny,,27 May - 00:00:33,1 - 15:15:33,1.078,1 - 18:19:17,
15,64,GBR3922R,Jangle,J/122,Clive Miles,,26 May - 23:45:46,1 - 15:00:46,1.086,1 - 18:22:04,
16,63,GBR6840R,Lancelot II,First 40,Sailing Logic,Jonathan Tyrrell,27 May - 00:16:25,1 - 15:31:25,1.074,1 - 18:26:54,
17,62,GBR8191R,British Soldier,X 41,Army Sailing Association,Philip Caswell,26 May - 23:54:09,1 - 15:09:09,1.098,1 - 18:59:22,
18,61,GBR7207T,Playing Around,First 40.7,Ken Docherty,,27 May - 01:51:35,1 - 17:06:35,1.052,1 - 19:14:51,
19,60,GBR2784L,A'assifa,First 45,Steve Capstick,,27 May - 00:13:58,1 - 15:28:58,1.097,1 - 19:18:45,
20,59,GBR4570L,Alcibiades III,Solaris One 44,Christopher R Parker QC,Lars Lippuner,27 May - 01:22:16,1 - 16:37:16,1.073,1 - 19:35:11,
21,58.5,GBR9536R,Thunder 2,Mills 37,Vladimir Phillips,,27 May - 00:37:24,1 - 15:52:24,1.098,1 - 19:46:51,
22,58,GBR8409R,Galahad Of Cowes,First 40,Ronan Banim,,27 May - 01:56:24,1 - 17:11:24,1.075,1 - 20:16:45,
23,57.5,GBR7380R,Lightning Reflex,Reflex 38,Geoffrey West,,27 May - 05:07:22,1 - 20:22:22,1.057,1 - 22:54:07,
24,57,GBR8883R,Volunteer,First 40.7,Joseph Macdonald,Stewart Henderson,27 May - 05:16:00,1 - 20:31:00,1.055,1 - 22:57:54,
25,56.5,GBR7811R,Snow Leopard,J/111,Simon Grier-Jones,,27 May - 03:54:51,1 - 19:09:51,1.092,1 - 23:08:07,
26,56,GBR5650T,Emma Claire,Grand Soleil 50,Mark Williams,,27 May - 04:10:23,1 - 19:25:23,1.089,1 - 23:17:16,
27,55.5,GBR4715L,Relax Of Phoenix,X-40,Phoenix Yacht Club,Trevor Nicholls,27 May - 12:20:00,2 - 03:35:00,1.051,2 - 06:12:51,
28,55,GBR1419L,Sidney II,Grand Soleil 50,Bob Mecham & Tanya Sullivan,Bob Mechem,27 May - 15:21:00,2 - 06:36:00,1.072,2 - 10:31:52,
,10,GBR6504N,Talisman,Prima 38,Simon Harwood,,,,1.064,,DNF-Did Not Finish
