# 2022 RORC Mainseries IRC One - SSE Renewables Round Ireland Race (Sat 18 Jun 22 13:00:00) - 11 boats - https://www.rorc.org/raceresults/2022/one09.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,84,FRA78,SL ENERGIES Groupe FASTWAVE,J/111,Laurent Charmy,,23 Jun - 08:45:43,4 - 19:45:43,1.085,5 - 05:36:06,
2,78,GBR2664R,Darkwood,J/121,Michael O'Donnell,,23 Jun - 06:36:48,4 - 17:36:48,1.117,5 - 06:54:22,
3,74,GBR9244R,Samatom,GS44R,Robert Rendell,,23 Jun - 05:37:52,4 - 16:37:52,1.134,5 - 07:43:25,
4,70,IRL35950,Aurelia,J/122,Chris & Patanne Power Smith,,23 Jun - 17:16:22,5 - 04:16:22,1.080,5 - 14:12:53,
5,67,GBR4947R,Black Magic,Beneteau,Barry O Donovan,,23 Jun - 16:35:49,5 - 03:35:49,1.089,5 - 14:35:49,
6,64,GBR8859,Jackknife,Rod Johnstone,Andrew Hall,,23 Jun - 18:05:53,5 - 05:05:53,1.142,5 - 22:51:43,
7,62,GBR7408R,Arthur,Beneteau First 40,Jim Bennett,,24 Jun - 04:38:41,5 - 15:38:41,1.066,6 - 00:35:50,
8,60,IRL20,Luzern eComm U25,Figaro 3,Lorcan Tighe,,24 Jun - 03:03:40,5 - 14:03:40,1.140,6 - 08:49:47,
9,58,GBR8911R,Jezebel,J/111,Cris Miles,,24 Jun - 08:52:36,5 - 19:52:36,1.097,6 - 09:26:41,
10,56,GBR1250X,Ca Va,Pogo 12.50,Tony Rayer,,24 Jun - 02:02:01,5 - 13:02:01,1.161,6 - 10:27:07,
11,54,85,L'Esprit D'Equipe,Briand,Regnier Lionel,,24 Jun - 01:45:56,5 - 12:45:56,1.170,6 - 11:20:09,
