# 2012 RORC Mainseries IRC Two-Handed - 50th Deauville Race / Cervantes Trophy (Fri 1 Jun 12) - 13 boats - https://www.rorc.org/raceresults/2012/twohanded04.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,93,GBR1259T,Moondog,Laser 28,Peter Pickett,,,21:47:45,0.901,19:38:17,
2,87,GBR979R,Malice,HOD 35,Mike Moxley,,,19:10:55,1.026,19:40:50,
3,83,FRA6179,Maeva,Super Arlequin,Frederic Waniart,,,23:29:00,0.867,20:21:36,
4,79,GBR9205R,Diablo-J,J/105,Nick Martin,,,20:18:25,1.007,20:26:57,
5,76,GBR7835R,Solan Goose of Hamble,A 35,Peter Olden,,,19:50:15,1.032,20:28:20,
6,73,GBR8329,Zanzara,Sigma 38,Nick Gale,,,21:07:25,0.985,20:48:24,
7,71,GBR5236R,Rare,Figaro II,Ian Hoddle,,,19:07:21,1.094,20:55:12,
8,69,GBR1535R,White Cloud IX,HOD 35,John & Alison Donnelly,,,20:20:55,1.029,20:56:19,
9,67,GBR8380R,Elixir,Elan 380,Felicity Gabbay,,,20:27:27,1.034,21:09:11,
10,65,GBR5963T,Pyxis,X 332,Kirsteen Donaldson,,,22:16:08,0.958,21:20:01,
11,63,FRA28747,Ultreia!,JPK 9.60,Matthias Kracht,,,22:07:58,0.976,21:36:06,
12,61,GBR8633R,Jings,J/133,David Ballantyne,,,19:25:48,1.117,21:42:12,
,10,GBR5180T,Aquila,Dehler 28,George Gerwitz,,,,0.865,,DNF-Did Not Finish
