# 2021 RORC Mainseries Class40 - Entries: 37      Races Sailed: 9      Discard: 4 (None) - 37 boats - https://www.rorc.org/raceresults/2021/classfortyos.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
,,USA144,Kite,Class40,Greg Leonard,,,,,,
,,FRA26,Sensation Class40,Class40,Marc Lepesqueux,,,,,,
,,FRA154,La Manche #EvidenceNautique,Class40,Nicolas Jossier,,,,,,
,,FRA160,Palanad 3,Class40,Antoine Magre,,,,,,
,,GBR137,Manic,Class40,Brian Thompson,,,,,,
,,SUI159,Banque Du Leman,Class40,Valentin Gautier,,,,,,
,,FRA155,Randstad/Ausy,Class40,Clara Fortin,,,,,,
,,FRA153,Lamotte - Module Création,Class40,Luke Berry,,,,,,
,,FRA161,Courrier Redman,Class40,Antoine Carpentier,,,,,,
,,FRA165,Edenred,Class40,Team Edenred,,,,,,
,,FRA145,Legallais,Class40,ARGO SUM SAS,,,,,,
,,FRA156,Guidi,Class40,Charles-Louis Mourruau,,,,,,
,,FRA166,Crosscall,Class40,Aurelien Ducroz,,,,,,
,,FRA123,Tales2,Class40,Andrea Fornaro,,,,,,
,,JPN101,Milai,Class40,Koji Nakagawa,,,,,,
,,FRA135,Vogue avec un Crohn,Class40,Pierre-Louis Attwell,,,,,,
,,FRA151,Entrepreneurs Pour La Planète,Class40,Christophe Caille,,,,,,
,,FRA100,Entraide Marine Umep,Class40,Nicolas Lemarchand,,,,,,
,,USA132,Polka Dot,Class40,Alex Mehran,,,,,,
,,FRA98,Avanade,Class40,Maxime Cauwe,,,,,,
,,JPN146,Kiho,Class40,Hiroshi Kitada,,,,,,
,,FRA140,Normandie Maritime,Class40,Marc Lepesqueux,,,,,,
,,FRA89,"Prendre la mer, Agir pour la Forêt",Class40,Mathieu Claveau,,,,,,
,,FRA65,Yoda,Class40,Franz Bouvet,,,,,,
,,NED44,Sec Hayai,Class40,Frans Budel,,,,,,
,,FIN38,Fuji,Class40,Ari Kaensaekoski,,,,,,
,,FRA30,Up Sailing,Class40,Morgane Ursault Poupon,,,,,,
,,FRA000,Entraide Marine UMEP,Class40,Nicolas Lemarchand,,,,,,
,,CRO130,Croatia Full of Life,Class40,Ivica Kostelic,,,,,,
,,FRA88,Eärwen,Class40,Kieran le Borgne,,,,,,
,,FRA104,Équipe Voile Parkinson,Class40,Florian Gueguen,,,,,,
,,FRA124,Obportus IV,Class40,Olivier Roussey,,,,,,
,,FRA141,Moon Palace,Class40,Adriaan van Oord,,,,,,
,,FRA162,Project Rescue Ocean,Class40,Axel Trehin,,,,,,
,,GBR90,Mussulo 40,Class40,Afanasy Isaev,,,,,,
,,NED66,Red66,Class40,Hans Brouwer,,,,,,
,,NOR149,Saint Yves Services,Class40,Herve Thomas,,,,,,
