# 2021 Spring Series - IRC Two-Handed - Entries: 25      Races Sailed: 3 (None) - 25 boats - https://www.rorc.org/raceresults/2021/springseries-2hos.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
,,GBR6890R,Gentoo,Sun Fast 3300,James Harayda,,,,1.026,,
,,GBR5176L,Aries,Sun Fast 3300,Kelvin Rawlings,,,,1.028,,
,,GBR8657L,Bellino,Sun Fast 3600,Rob Craigie,,,,1.040,,
,,GBR529R,Just So,J/109,David McGough,,,,1.003,,
,,GBR914R,Tigris,Sun Fast 3600,Gavin Howe,,,,1.049,,
,,GBR795R,Diablo,Sun Fast 3600,Nick Martin,,,,1.030,,
,,GBR4867L,Purple Mist,Sun Fast 3200,Katherine Cope,,,,1.001,,
,,FRA35829,Cora,Sun Fast 3200,Nigel Goodhew,,,,0.996,,
,,GBR958R,Jangada,JPK 1010,Richard Palmer,,,,1.001,,
,,GBR7933R,Fastrak XII,Sun Fast 3300,Nigel de Quervain Colley,,,,1.025,,
,,GBR4849R,Team Bomby/Robertson,Sun Fast 3300,Henry Bomby,,,,1.033,,
,,GBR1663R,Chilli Pepper,Sun Fast 3300,Jim Driver,,,,1.030,,
,,GBR9033T,Duff Lite,Corby 25,Gavin Doyle,,,,0.919,,
,,GBR8529,Jazzy Jellyfish,J/109,Gareth Edmondson,,,,1.008,,
,,GBR8956R,Mzungo,Sunfast 3200,Tony White,,,,0.993,,
,,GBR3759L,Jelenko II,Sun Fast 3600,Jonathan Bevan,,,,1.044,,
,,GBR9779T,Jago,J/109,Mike Yates,,,,1.009,,
,,USA61287,Sea Bear,Sun Fast 3300,Peter Bacon,,,,1.028,,
,,GBR9824,NJOS,Corby 35,Tim Octon,,,,1.033,,
,,POR66,Stormwave 2.0,Figaro 3,Ross Farrow,,,,1.112,,
,,GBR7899R,Jet,J/99,James Owen,,,,1.010,,
,,GBR7727,Musketeer,First 40.7,Phillip Holroyd Smith,,,,1.031,,
,,GBR4688R,Tigris,J/88,Gavin Howe,,,,1.029,,
,,GBR3922R,Jangle,J/122e,Clive Miles,,,,1.085,,
,,IOM7003,Polished Manx,First 40.7,Kuba Szymanski,,,,1.016,,
