# 2013 RORC Mainseries IRC Two-Handed - Myth of Malham Race (Sat 25 May 13) - 22 boats - https://www.rorc.org/raceresults/2013/twohanded04.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,GBR8537R,Jangada Too,J/109,Richard Palmer,,,1 - 19:55:21,1.010,1 - 20:21:42,
2,94,GBR9030R,Brightwork,Rogers 30,Bernie Bingham,,,1 - 21:09:23,1.016,1 - 21:52:44,
3,90,GBR9868T,J Bellino,J/122,Rob Craigie,,,1 - 18:41:06,1.076,1 - 21:55:45,
4,86,GBR2539L,Roxanne,Sun Fast 3200,Simon Mitchell,,,1 - 22:01:23,0.998,1 - 21:55:52,
5,83,GBR8380R,Elixir,Elan 380,Felicity Gabbay,,,1 - 20:33:53,1.033,1 - 22:02:07,
6,80,GBR4690R,Fastrak IX,Sun Fast 3200,Nigel de Quervain Colley,,,1 - 21:55:29,1.003,1 - 22:03:45,
7,78,GBR9205R,Diablo-J,J/105,Nick Martin,,,1 - 21:53:14,1.007,1 - 22:12:30,
8,76,GBR5963T,Pyxis,X 332,Kirsteen Donaldson,,,2 - 00:27:03,0.958,1 - 22:24:57,
9,74,GBR979R,Malice,HOD 35,Mike Moxley,,,1 - 21:45:48,1.023,1 - 22:48:57,
10,72,GBR9503T,Jamira,J/109,Mark Tracey,Mark Tracey & David Pritchard,,1 - 22:08:03,1.015,1 - 22:49:34,
11,70,GBR8643T,Arcsine,Arcona 370,Kathy Claydon,,,1 - 22:40:16,1.010,1 - 23:08:16,
12,68,21,Artemis 21,Figaro II,Artemis Offshore Academy,,,1 - 20:06:00,1.087,1 - 23:56:12,
13,66,GBR43,Artemis 43,Figaro II,Artemis Offshore Academy,,,1 - 20:07:33,1.087,1 - 23:57:53,
14,65,GBR735R,Comedy Of Errors,HOD 35,Tony White,,,1 - 23:26:00,1.012,2 - 00:00:09,
15,64,GBR9029,Rainmaker,Oyster LW395,James Porter,,,2 - 01:12:34,0.989,2 - 00:40:05,
16,63,GBR6643R,Nightfall,Arcona 430,Tom Sperrey,,,1 - 19:57:27,1.122,2 - 01:19:13,
17,62,GBR5236R,Rare,Figaro II,Ian Hoddle,,,1 - 21:21:55,1.092,2 - 01:32:20,
18,61,GBR7388R,Leopard Clipper,Reflex 38,Mark Osborn,,,1 - 23:32:08,1.050,2 - 01:54:44,
19,60,GBR3390T,Gentle Zephyr,Bavaria 390,Neal Martin,,,2 - 04:28:25,0.968,2 - 02:47:40,
20,59,GBR2899,Freebird,Sadler 34,Jonti Clews,,,2 - 09:43:24,0.893,2 - 03:32:49,
,10,GBR6687T,Skywave,Elan 333,Royal Signals Yacht Club,,,,0.965,,DNF-Did Not Finish
,10,GBR8633R,Jings,J/133,David Ballantyne,,,,1.096,,DNF-Did Not Finish
