# 2016 IRC National Championship - IRC Three - Entries: 13      Races Sailed: 8      Discard: 1 (None) - 13 boats - https://www.rorc.org/raceresults/2016/ircnats-threeos.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
,,FRA35080,Dunkerque - Les Dunes de Flandre,A35,Benoit D'halluin,,,,1.027,,
,,IRL725,Bengal Magic,J/35,Knight Build Ltd,,,,1.016,,
,,NED7623,Intention,Bashford Howison 36,Willem Schopman,,,,1.034,,
,,GBR979R,Malice,HOD 35,Mike Moxley,,,,1.022,,
,,GBR581R,Antix,X 302,John Allen,,,,0.927,,
,,NED118,Winsome,S&S 41,Harry J. Heijst,,,,0.989,,
,,GBR9292C,Wildebeest V,J/92,Craig Latimer,,,,0.962,,
,,GBR9700N,Only Magic,J/97,Richard Sparrow,,,,0.980,,
,,K1034,Cetewayo,7/8 Sloop,David Murrin,,,,0.992,,
,,GBR8185,Quokka 9,Half Tonner,Peter Rutter,,,,0.946,,
,,GBR3033L,Rigit On Wild Child,Corby 30,Brian Wilkinson,,,,0.986,,
,,GBR6895T,Xcitable,X 362,Peter Hodgkinson,,,,1.003,,
,,GBR9L,Sunshine,Ker 9m,Malcolm Roberts,,,,1.018,,
