# 2012 RORC Mainseries IRC Overall - Myth of Malham Race (Fri 22 Jun 12) - 15 boats - https://www.rorc.org/raceresults/2012/ircoverall05.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,95,GBR722R,Voador,J/105,Nikki Curwen,2H,,1 - 14:11:41,1.009,1 - 14:32:19,
2,89,NED118,Winsome,S&S 41,Harry Heijst,,,1 - 15:19:12,0.991,1 - 14:57:58,
3,85,GBR39R,Magnum III,Ker 40,Andrew Pearce,,,1 - 08:47:38,1.192,1 - 15:05:25,
,10,FRA6179,Maeva,Super Arlequin,Frederic Waniart,2H,,,0.867,,DNF-Did Not Finish
,10,FRA6770,Iromiguy,Nicholson 33,Jean Yves Chateau,,,,0.910,,DNF-Did Not Finish
,10,GBR3390T,Gentle Zephyr,Bavaria 390,Neal Martin,2H,,,0.968,,DNF-Did Not Finish
,10,GBR2539L,Roxanne,Jeanneau Sun Fast 3200,Simon Mitchell,2H,,,1.003,,DNF-Did Not Finish
,10,BEL1383,Wasabi,JPK 10.10,Vincent Willemart,,,,1.007,,DNF-Did Not Finish
,10,FRA37310,Foggy Dew,JPK 10.10,Noel Racine,,,,1.007,,DNF-Did Not Finish
,10,GBR6709R,J-T'Aime,J/109,Christopher Palmer,,,,1.014,,DNF-Did Not Finish
,10,GBR8529R,Jazzy Jellyfish,J/109,Kevin Armstrong,,,,1.017,,DNF-Did Not Finish
,10,GBR979R,Malice,HOD 35,Mike Moxley,2H,,,1.026,,DNF-Did Not Finish
,10,GBR8380R,Elixir,Elan 380,Felicity Gabbay,2H,,,1.034,,DNF-Did Not Finish
,10,GBR5236R,Rare,Figaro II,Ian Hoddle,2H,,,1.094,,DNF-Did Not Finish
,10,GBR9447R,Water Venture,First 44.7,Edmund Broadbent,,,,1.097,,DNF-Did Not Finish
