# 2018 RORC Mainseries IRC Two-Handed - Cowes Dinard St Malo Race (Fri 13 Jul 18) - 29 boats - https://www.rorc.org/raceresults/2018/twohanded09.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,GBR5936R,Game On,Sun Fast 3600,Ian Hoddle,Oliver Wyatt,14 Jul - 23:38:04,1 - 12:48:04,1.040,1 - 14:16:23,
2,94,FRA43933,Raging-Bee²,Jpk 10.80,Louis-Marie Dussere,,15 Jul - 00:04:59,1 - 13:14:59,1.033,1 - 14:28:44,
3,90,FRA37916,Georgia,Sun Fast 3200,Joe Lacey,Pierre Aubert,15 Jul - 02:40:08,1 - 16:00:08,1.000,1 - 16:00:08,
4,86,FRA53075,Mestral Marine Works,Mmw33,Marine Andre,Anthony Esteban Weijl,15 Jul - 02:34:44,1 - 15:44:44,1.007,1 - 16:01:26,
5,83,FRA43893,Musix,J/112E,Philippe Baetz,,15 Jul - 01:47:48,1 - 14:57:48,1.044,1 - 16:40:40,
6,80,GBR914R,Tigris,Sun Fast 3600,Gavin Howe,,15 Jul - 02:08:24,1 - 15:08:24,1.056,1 - 17:19:55,
7,78,GBR958R,Jangada,Jpk 10.10,Richard Palmer,,15 Jul - 04:14:45,1 - 17:24:45,1.008,1 - 17:44:38,
8,76,FRA34631,Hey Joe,A35,Antoine Croyere,,15 Jul - 04:23:30,1 - 17:33:30,1.023,1 - 18:30:51,
9,74,FRA38395,Parapharmacie Leclerc Riantec,A31,Pontu Sylvain,Sylvain Pontu,15 Jul - 14:07:00,2 - 03:27:00,0.988,2 - 02:49:57,
10,72,MLT105,Bigfoot,J/105,Robert Nelson,,15 Jul - 18:19:10,2 - 07:39:10,1.001,2 - 07:42:30,
,10,GBR3936,British Beagle,Sigma 36,Charles Emmett,,,,0.937,,DNF-Did Not Finish
,10,GBR4350L,Felix,X-332,Christoph Friedrich,,,,0.971,,DNF-Did Not Finish
,10,FRA34824,Kia Ora,Jpk 9.60,Olivier Hays,,,,0.986,,DNF-Did Not Finish
,10,GBR3200N,All Or Nothing,Sun Fast 3200,Chris Blackburn & Simon Dipple,,,,0.994,,DNF-Did Not Finish
,10,FRA43653,Nirvana,Sun Fast 3200,Keith Thompson,,,,0.997,,DNF-Did Not Finish
,10,FRA35321,Reptile,Archambault Sprint108,Arnaud Renoult,,,,0.999,,DNF-Did Not Finish
,10,FRA38411,Faribole,Jpk 10.10,Eric Poyet,,,,0.999,,DNF-Did Not Finish
,10,FRA35829,Cora,Sun Fast 3200,Nigel Goodhew,Tim Goodhew,,,1.001,,DNF-Did Not Finish
,10,GBR2904L,Hot Pursuit,Sun Fast 3200,Richard Lewis,Lewis / Pawson,,,1.001,,DNF-Did Not Finish
,10,GBR8643T,Arcsine,Arcona 370,Kathy Claydon,,,,1.010,,DNF-Did Not Finish
,10,GBR15007,Montombi,North American 40,Drew Rogers Pascoots,,,,1.010,,DNF-Did Not Finish
,10,GBR9328T,Intemperance,Sigma 400,Paul Shilling,,,,1.022,,DNF-Did Not Finish
,10,FRA34628,Vaimiti,A 35,Frederic Level,Yann Level,,,1.025,,DNF-Did Not Finish
,10,GBR9070R,Change Of Course,C & C 115,Keith Gibbs,,,,1.032,,DNF-Did Not Finish
,10,GBR795R,Diablo,Sun Fast 3600,Nick Martin,,,,1.035,,DNF-Did Not Finish
,10,FRA38418,Bouznik',Jpk 10.80,Francois Valraud,,,,1.038,,DNF-Did Not Finish
,10,GBR4436,Blue Note,Jpk 10.80,Stephen Hopson,,,,1.046,,DNF-Did Not Finish
,10,GBR7383R,Puma,Reflex 38,Stuart Wilkie,,,,1.047,,DNF-Did Not Finish
,10,HKG2192,Double Edge,Corby 38,Chris Schram,,,,1.109,,DNF-Did Not Finish
