# 2018 RORC Mainseries IRC Two - Cherbourg Race (Fri 7 Sep 18 18:10:00) - 12 boats - https://www.rorc.org/raceresults/2018/two13.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,92,FRA38568,Pintia,J/133,Gilles Fournier / Corinne Migraine,Gilles Fournier,8 Sep - 03:35:37,9:25:37,1.092,10:17:39,
2,86,GBR419R,Redshift Reloaded,Sun Fast 3600,Ed Fishwick,Will Harris & Ed Fishwick,8 Sep - 04:15:23,10:05:23,1.053,10:37:28,
3,82,GBR8191R,British Soldier,X 41,Army Sailing Association,Andrew Britton,8 Sep - 05:23:51,11:13:51,1.096,12:18:32,
4,78,GBR9536R,Thunder 2,Mills 37,Vladimir Phillips,,8 Sep - 05:43:30,11:33:30,1.097,12:40:46,
5,75,GBR6840R,Lancelot II,First 40,Sailing Logic,Peter Burwood,8 Sep - 06:38:31,12:28:31,1.075,13:24:39,
6,72,GBR7408R,Arthur Logic,First 40,Sailing Logic,Jonathan Tyrrell,8 Sep - 07:10:28,13:00:28,1.069,13:54:19,
7,70,GBR8409R,Galahad Of Cowes,First 40,Ronan Banim,,8 Sep - 07:39:33,13:29:33,1.076,14:31:05,
8,68,SWE450,Emily Of Cowes,Elan 450,Richard Oswald,,8 Sep - 08:14:47,14:04:47,1.055,14:51:15,
9,66,GBR7383R,Puma,Reflex 38,Stuart Wilkie,,8 Sep - 08:24:21,14:14:21,1.054,15:00:29,
10,64,GBR3923L,Merlin,First 40,Sailing Logic,James Davies,8 Sep - 08:16:09,14:06:09,1.074,15:08:46,
11,62,GBR9922T,R&w,J/122,Andy Theobald,,8 Sep - 08:52:50,14:42:50,1.082,15:55:14,
12,60,GBR4715L,Relax Of Phoenix,X-40,Phoenix Yacht Club,Chris Maughan,8 Sep - 11:21:32,17:11:32,1.054,18:07:14,
