# 2021 RORC Mainseries IRC Overall Castle Rock Race, Start: Fri 10 Sep 21, Total boats: 31
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,GBR520X,Tala,Botin IRC 52,David Collins,,11 Sep - 06:02:09,10:52:09,1.409,15:18:53,
2,94,GBR1702T,Scarlet Oyster,Oyster 48,Ross Applebey,,11 Sep - 11:13:29,16:03:29,1.063,17:04:11,
3,90,GBR9033T,Duff Lite,Corby 25,Gavin Doyle,Gavin Doyle & Alex Piatti,11 Sep - 13:57:12,18:57:12,0.919,17:25:05,
4,86,GBR1815X,Fujitsu British Soldier,Sun Fast 3600,ASA,Henry Foster,11 Sep - 11:45:43,16:45:43,1.044,17:29:58,
5,83,FRA3333,Shortgood,First Class 10,Renaud Courbon & Emmanuel Winsback,Renaud Courbon & Guillaume Pirouelle,11 Sep - 12:52:58,17:52:58,0.985,17:36:52,
6,80,GBR4669R,Pata Negra,Lombard 46,Andrew Hall,,11 Sep - 10:28:07,15:18:07,1.154,17:39:30,
7,78,GBR26R,Morning After,S&S 34,Stuart Greenfield,,11 Sep - 14:03:57,19:03:57,0.933,17:47:18,
8,76,FRA35829,Cora,Sun Fast 3200,Nigel Goodhew,Tim Goodhew & Kelvin Matthews,11 Sep - 12:50:36,17:50:36,0.997,17:47:23,
9,74,GBR529R,Just So,J/109,David McGough,William McGough & Andrew Jackson,11 Sep - 12:46:13,17:46:13,1.002,17:48:21,
10,72,FRA21717,Whisper,JPK 1010,Franck Ribot,,11 Sep - 13:06:01,18:06:01,0.987,17:51:54,
11,70,GBR8657L,Bellino,Sun Fast 3600,Rob Craigie,Rob Craigie & Deb Fish,11 Sep - 12:23:32,17:23:32,1.040,18:05:16,
12,70,GBR6712R,Dawn Treader,JPK 1180,Ed Bell,,,,1.099,,Points avg Place (11) prev sailed races
13,68,GBR8809R,Mojo Risin',J/109,J/109 Racing Limited,Rob Cotterill,11 Sep - 13:03:54,18:03:54,1.002,18:06:04,
14,66,GBR8529R,Jazzy Jellyfish,J/109,Kevin Armstrong,,11 Sep - 12:58:14,17:58:14,1.008,18:06:52,
15,65,GBR1663R,Chilli Pepper,Sun Fast 3300,Jim Driver,Ellie Driver & Cat Hunt,11 Sep - 12:44:24,17:44:24,1.028,18:14:12,
16,64,GBR795R,Diablo,Sun Fast 3600,Nick Martin,Nick Martin & Calanach Finlayson,11 Sep - 12:47:07,17:47:07,1.031,18:20:12,
17,63,GBR914R,Tigris,Sun Fast 3600,Gavin Howe,Gavin Howe & Maggie Adamson,11 Sep - 12:29:01,17:29:01,1.049,18:20:25,
18,62,GBR888X,Sunrise,JPK 1180,Thomas Kneen,Jack Trigger,11 Sep - 11:51:15,16:41:15,1.100,18:21:23,
19,61,GBR979R,Malice,HOD 35,Mike Moxley,Mike Moxley & Tom Bridge,11 Sep - 13:03:51,18:03:51,1.020,18:25:32,
20,60,GBR4867L,Purple Mist,Sun Fast 3200,Katherine Cope,Rob Nelson & Conrad Manning,11 Sep - 13:27:33,18:27:33,1.001,18:28:39,
21,59,LAT909,Orange Mecanix2,Xp 44,Sport Nautique Club,Maxime de Mareuil,11 Sep - 11:46:00,16:36:00,1.130,18:45:29,
22,58.5,GBR2842L,Sun Kosi,Sun Fast 3200,Miles Delap,Miles Delap & Keith Oliver,11 Sep - 13:47:51,18:47:51,0.998,18:45:36,
23,58,GBR2664R,Darkwood,J/121,Michael O'Donnell,,11 Sep - 12:14:08,17:04:08,1.116,19:02:56,
24,57.5,GBR4896R,Assuage,Swan 48r,Chris Woods,,11 Sep - 12:31:11,17:21:11,1.105,19:10:30,
25,57,GBR8405R,Olympia's Tigress,First 40,Susan Glenny,,11 Sep - 12:58:24,17:48:24,1.078,19:11:44,
26,56.5,GBR7408R,Arthur,First 40,Sailing Logic,James Davies,11 Sep - 13:11:03,18:01:03,1.070,19:16:43,
27,56,SUI4777,Kali,First 47.7,Swiss Ocean Racing Club,Benedikt Clauberg,11 Sep - 13:13:49,18:03:49,1.072,19:21:51,
28,55.5,GBR833X,Hooligan VIII,Sun Fast 3300,Edward Broadway,Ed Broadway & Ian White,11 Sep - 13:56:14,18:56:14,1.029,19:29:11,
29,55,USA60006,Venomous,Carroll Marine 60,VME Racing,James Gair,11 Sep - 09:43:00,14:33:00,1.352,19:40:18,
30,54.5,ESP11,Telefonica Black,Volvo Open 70,Lance Shepherd,,11 Sep - 13:37:04,18:27:04,1.609,1 - 05:41:16,
31,10,GBR7387T,Magus Tao,Dehler 41 Cr,Robert Sharp,,,,0.977,,DNF-Did Not Finish
32,10,GBR715R,Pegasus Of Northumberland,Open 50,Ross Hobson & Adrian Banks,Ross Hobson,,,1.494,,DNF-Did Not Finish
