# 2019 RORC Mainseries IRC One - De Guingand Bowl Race (Sat 8 Jun 19 09:10:00) - 15 boats - https://www.rorc.org/raceresults/2019/one06.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,95,GBR3875X,Phosphorus II,A 13,Mark Emerson,,9 Jun - 01:26:09,16:16:09,1.179,19:10:53,
2,89,GBR4921R,Ino XXX,Hh42,James Neville,,9 Jun - 00:32:23,15:22:23,1.267,19:28:40,
3,85,GBR8248,Incisor,Corby 45,Cowes Race School / James Gair,,9 Jun - 02:50:14,17:40:14,1.145,20:13:58,
,10,GBR1521R,Rock Lobster,J/121,Nick Angel,,,,1.109,,DNF-Did Not Finish
,10,FRA346,Lann Ael 2,Jnd 39,Didier Gaudoux,,,,1.117,,DNF-Did Not Finish
,10,GBR2664R,Darkwood,J/121,Michael O'Donnell,,,,1.118,,DNF-Did Not Finish
,10,GBR1544R,Simples,Xp 44,Demian Smith,,,,1.124,,DNF-Did Not Finish
,10,LAT909,Orange Mecanix2,Xp 44,Maxime de Mareuil,,,,1.132,,DNF-Did Not Finish
,10,GBR759R,Eclectic,Azuree 46,Colin Campbell,,,,1.138,,DNF-Did Not Finish
,10,GBR5440R,Thunderbird,Farr 40 2.60 Mod (int),Rupert Wolloshin,Rupert Wolloshin,,,1.139,,DNF-Did Not Finish
,10,GBR3758L,Glatisant,Pogo 12.50,Dirk Hoffmann-Becking,Dirk Hoffmann-Becking,,,1.162,,DNF-Did Not Finish
,10,GBR1180X,Gallivanter,Mat 1180,Tor McLaren,Andrew Horrocks,,,1.191,,DNF-Did Not Finish
,10,GBR6889R,Keronimo,Ker 40,Lars And Birgitta Elfverson,,,,1.198,,DNF-Did Not Finish
,10,GBR741R,Hooligan VII,Ker 40,Edward Broadway,,,,1.239,,DNF-Did Not Finish
,10,GBR419R,Redshift,Farr Gp42,Ed Fishwick,,,,1.265,,DNF-Did Not Finish
