# 2017 RORC Mainseries Class 40 - Entries: 27      Races Sailed: 10      Discard: 5 (None) - 27 boats - https://www.rorc.org/raceresults/2017/classfortyos.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
,,FRA147,Campagne De France,Class40,Halvard Mabire,,,,,,
,,GBR137,Phor-ty,Class40,Peter Harding,,,,,,
,,RSA23,Arwen,Class40,Austen Clark,,,,,,
,,FRA145,Eärendil,Class40,Catherine Pourre,,,,,,
,,FRA43,Palanad II,Class40,Antoine Magre,,,,,,
,,FRA113,Partouche,Class40,Christophe Coatnoan,,,,,,
,,FRA135,LMAX Normandie,Class40,Benoit Charon,,,,,,
,,GBR97,Fortissimo,Class40,James Close,,,,,,
,,FRA98,Espoir,Class40,Maxime Cauwe,,,,,,
,,NOR149,Hydra,Class40,Henrik Bergesen,,,,,,
,,FRA140,Sensation Class40 Extreme,Class40,Marc Lepesqueux,,,,,,
,,SWE95,Talanta,Class40,Mikael Ryking,,,,,,
,,FRA144,V And B,Class40,Maxime Sorel,,,,,,
,,GBR130,Imerys,Class40,Phil Sharp,,,,,,
,,OMA139,Oman Sail,Class40,Sandrine Pelletier,,,,,,
,,FRA148,Cap Des Palmes - Evernex,Class40,Brieuc Maisonneuve,,,,,,
,,FRA150,Carac,Class40,Louis Duc,,,,,,
,,BEL107,Roaring Forty 2,Class40,Michel Kleinjans,,,,,,
,,FRA134,Stella Nova,Class40,Burkhard Keese,,,,,,
,,JPN146,Kiho,Class40,Hiroshi Kitada,,,,,,
,,FRA133,Teranga,Class40,Hamez Emmanuel,,,,,,
,,FRA131,Gustave Roussy,Class40,Sylvain Pontu,,,,,,
,,NED141,Moonpalace,Class40,Adriaan van Oord,,,,,,
,,GBR38,Fuji,Class40,Ari Kaensaekoski,,,,,,
,,FRA81,Esprit Scout,Class40,Marc Dubos,,,,,,
,,FRA124,Obportus IV,Class40,Olivier Roussey,,,,,,
,,GER138,MarieJo,Class40,Berthold Brinkmann,,,,,,
