# 2015 RORC Mainseries IRC Two-Handed - Cervantes Trophy Race (Sat 2 May 15) - 26 boats - https://www.rorc.org/raceresults/2015/twohanded02.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,FRA38895,Night And Day,JPK 10.10,Pascal Loison,,,20:52:18,1.009,21:03:34,
2,94,GBR3657L,Bellino,Sun Fast 3600,Rob Craigie,,,20:36:17,1.039,21:24:30,
3,90,FRA38902,Raging Bee,JPK 10.10,Louis-Marie Dussere,,,21:17:21,1.006,21:25:01,
4,86,GBR795R,Ninjod,Sun Fast 3600,Paul Brant,,,20:42:21,1.040,21:32:03,
5,83,FRA27550,Sous Mama Boulé,JPK 9.60,Ludovic Melnyk,,,22:16:06,0.976,21:44:02,
6,80,GBR9205R,Diablo-J,J/105,Nick Martin,,,21:53:31,1.006,22:01:24,
7,78,GBR6865R,Jagerbomb,J/109,Paul Griffiths,,,21:51:54,1.010,22:05:01,
8,76,GBR979R,Malice,HOD 35,Mike Moxley,,,21:54:19,1.009,22:06:09,
9,74,GBR1404R,Flair IV,Elan 40,Ashley Harris,,,21:46:48,1.021,22:14:15,
10,72,GBR4343C,Tweak,JOD 35,Richard Breese,,,22:12:56,1.012,22:28:56,
11,70,GBR9604R,Nunatak,J/120,Elin Haf Davies,,,21:23:49,1.055,22:34:26,
12,68,GBR5963T,Pyxis,X 332,Kirsteen Donaldson,,,23:45:15,0.957,22:43:58,
13,66,FRA29961,Tusen Takk II,JPK 9.60,Philippe Auber,,,23:16:37,0.978,22:45:53,
14,65,FRA3333,Shortgood,First Class 10,Renaud Courbon,,,23:00:03,0.992,22:49:01,
15,64,FRA6179,Maeva,Super Arlequin,Frederic Waniart,,,1 - 02:10:41,0.879,23:00:38,
16,63,GBR2904L,Hot Pursuit,Sun Fast 3200,Richard Lewis,Lewis/Pawson,,23:33:51,0.999,23:32:26,
17,62,GBR536,Zest,Custom,Kathryn Schmitt,,,23:48:20,0.989,23:32:37,
18,61,GBR7388R,Leopard Clipper,Reflex 38,Mark Osborn,,,22:30:55,1.049,23:37:07,
19,60,GBR7716R,Psipsina,Hod 35,Bernie Bingham,,,23:45:06,1.002,23:47:57,
20,59,CO597,Hurrying Angel,Contessa 32,Lucinda Allaway,,,1 - 03:45:49,0.872,1 - 00:12:36,
21,58.5,GBR1174L,Taika,J/105,Stuart Rhys-williams,,,1 - 00:21:54,1.007,1 - 00:32:08,
22,58,FRA15012,Ginger,JOD 35,Alan Thornewill,,,1 - 00:49:35,1.004,1 - 00:55:33,
23,57.5,GBR2L,Jigsaw,J/109,Chris Andrews,,,1 - 00:47:00,1.011,1 - 01:03:21,
24,57,FRA36513,Max,First 31.7,Jean-Louis Stalain,,,1 - 03:37:28,0.943,1 - 02:02:59,
,10,GBR9029,Rainmaker,Oyster LW395,James Porter,,,,1.000,,DNF-Did Not Finish
,10,IRL7111,Mustigo II,J/111,Stephen Scholefield,,,,1.098,,DNF-Did Not Finish
