# 2015 RORC Mainseries IRC Three - North Sea Race (Fri 15 May 15) - 14 boats - https://www.rorc.org/raceresults/2015/three03.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,94,NED7623,Intention,Bashford Howison 36,Willem Schopman,,,1 - 02:01:21,1.046,1 - 03:13:10,
2,88,GBR3657L,Bellino,Sun Fast 3600,Rob Craigie,2H,,1 - 02:28:09,1.039,1 - 03:30:05,
3,84,NED6428,Griel,Dehler 39,Robert Jockin,,,1 - 03:12:20,1.024,1 - 03:51:31,
4,80,GBR1355R,Lulotte,Swan 55 Yawl,Ben Morris,,,1 - 03:25:28,1.036,1 - 04:24:42,
5,77,BEL1265,Denebola,MG 30 Modified,Alain Poncelet,,,1 - 04:03:15,1.019,1 - 04:35:14,
6,74,GBR8532R,Firestorm,J/109,Wim van Slooten,2H,,1 - 04:27:03,1.012,1 - 04:47:32,
7,72,NED6803,Jazz,Comfortina 42,Jan Donderwinkel,,,1 - 04:25:33,1.050,1 - 05:50:50,
8,70,NED7500,Mistaya,Sweden 42,Firmin Wagemans,,,1 - 05:00:08,1.041,1 - 06:11:29,
9,68,NED8002,Virtue,X-37,Jos Van Ijsseldijk,,,1 - 05:21:09,1.030,1 - 06:13:59,
,10,GBR980R,Strata 3,Sun Odyssey 36i,East Anglian Sea School,Keith Miller,,,1.005,,DNF-Did Not Finish
,10,NED7800,Arethusa,J/109,Kees Mijs,2H,,,1.011,,DNF-Did Not Finish
,10,NED8202,Joost & Vrolijk,Dehler 36 JV,Joost Nederkoorn,2H,,,1.011,,DNF-Did Not Finish
,10,BEL7117,Tyfoon VI,One-Off,Luc Dewulf,2H,,,1.031,,DNF-Did Not Finish
,10,FRA43772,Courrier Du Leon,JPK 10.80,Géry Trentesaux,,,,1.050,,DNF-Did Not Finish
