# 2021 RORC Spring Series - IRC - Race 1 (Sat 3 Apr 21 10:00:00) - 20 boats - https://www.rorc.org/raceresults/2021/springseries-irc01.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,1,GBR4921R,Ino XXX,HH42,James Neville,,14:01:59,4:01:59,1.273,5:08:03,
2,2,FRA8051,Blt,Quarter Ton Bullit Fauroux,Sam Laidlaw,,16:01:33,6:01:33,0.911,5:29:22,
3,3,GBR6712R,Dawn Treader,JPK 1180,Ed Bell,,15:00:22,5:00:22,1.099,5:30:06,
4,4,GBR2664R,Darkwood,J/121,Michael O'Donnell,,14:57:49,4:57:49,1.115,5:32:04,
5,5,GBR562R,Sailplane 3,Mat 12,Rob Bottomley,Nicholas Jones,14:57:53,4:57:53,1.131,5:36:54,
6,6,GBR236R,Rumbleflurg,Ker 39,David Cummins,,15:05:03,5:05:03,1.115,5:40:08,
7,7,GBR1544R,Simples,XP 44,Demian Smith,,15:06:48,5:06:48,1.123,5:44:32,
8,8,GBR8809R,Mojo Risin',J/109,J/109 Racing Limited,Rob Cotterill,15:47:55,5:47:55,1.007,5:50:21,
9,9,GBR8611R,Kestrel,J/111,Simon Bamford,,15:25:40,5:25:40,1.096,5:56:56,
10,10,GBR851R,Cracklin Rosie,Corby 40,Steven Anderson,,15:21:55,5:21:55,1.109,5:57:00,
11,11,GBR9922T,R&W,J/122,Andy Theobald,,15:32:37,5:32:37,1.078,5:58:34,
12,12,GBR8274,Machismo II,Sigma 38,Tim Levett,,16:06:27,6:06:27,0.980,5:59:07,
13,13,GBR8409R,Galahad Of Cowes,First 40,Ronan Banim,,15:35:25,5:35:25,1.074,6:00:14,
14,14,GBR1575L,Pure Attitude,X 37,Martin Gray,Ifan James,15:55:47,5:55:47,1.024,6:04:19,
15,15,GBR7727T,Musketeer,First 40.7,Phillip Holroyd Smith,,15:57:21,5:57:21,1.031,6:08:26,
16,16,GBR8529R,Jazzy Jellyfish,J/109,Kevin Armstrong,,16:08:07,6:08:07,1.008,6:11:04,
17,17,GBR3759,Jelenko II,Sun Fast 3600,Jonathan Bevan,,16:05:46,6:05:46,1.044,6:21:52,
18,18,GBR7951R,Skylander,First 40,Yuri Fadeev,,15:59:05,5:59:05,1.076,6:26:22,
,37,GBR888X,Sunrise,JPK 1180,Thomas Kneen,,,,1.097,,DNF-Did Not Finish
,37,GBR363R,Whooper,One Off,Giovanni Belgrano,,,,0.930,,DNC-Did Not Come to Starting Area
