# 2019 RORC Mainseries IRC Two - Entries: 97      Races Sailed: 14      Discard: 9 (None) - 97 boats - https://www.rorc.org/raceresults/2019/twoos.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
,,FRA53037,Courrier Recommandé,JPK 11.80,Trentesaux Gery,,,,1.097,,
,,GBR888X,Sunrise,JPK 11.80,Thomas Kneen,,,,1.098,,
,,FRA38568,Pintia,J/133,Gilles Fournier / Corinne Migraine,,,,1.091,,
,,GBR1702T,Scarlet Oyster,Oyster 48,Ross Applebey,,,,1.057,,
,,GBR914R,Tigris,Sun Fast 3600,Gavin Howe,,,,1.053,,
,,GBR7951R,Kabestan Skylander,Beneteau First 40,Yuri Fadeev,,,,1.079,,
,,GBR2215L,Quokka 8,Grand Soleil 43,Performance Yacht Racing,,,,1.087,,
,,GBR8405R,Olympia's Tigress,Beneteau First 40,Susan Glenny,,,,1.081,,
,,GBR8191R,British Soldier,X 41,Army Sailing Association,,,,1.098,,
,,GBR6840R,Lancelot II,First 40,Sailing Logic,,,,1.074,,
,,GBR8409R,Galahad Of Cowes,First 40,Ronan Banim,,,,1.075,,
,,GBR7408R,Arthur Logic,First 40,Sailing Logic,,,,1.068,,
,,GBR7207T,Playing Around,First 40.7,Ken Docherty,,,,1.052,,
,,FRA72,Champagne,Figaro II,Marc Noel,,,,1.057,,
,,GBR4715L,Relax Of Phoenix,X 40,Phoenix Yacht Club,,,,1.051,,
,,GBR7041R,Anticipation,First 40.7,Peter Newlands,,,,1.052,,
,,FRA35800,Iritis,First 40,Herve Benic,,,,1.072,,
,,GBR4778R,Eh01,First 47.7,Performance Yacht Racing,,,,1.082,,
,,GBR4013R,Sailplane,First 40,Rob Bottomley,,,,1.080,,
,,FRA27967,Jivaro,J/133,Yves Grosjean,,,,1.095,,
,,NED8844,Olympix,X 4,Hugo Gommers,,,,1.069,,
,,GBR9536R,Thunder 2,Mills 37,Vladimir Phillips,,,,1.097,,
,,GBR7122X,Juno,J/122E,Christopher Daniel,,,,1.089,,
,,GBR5650T,Emma Claire,Grand Soleil 50,Mark Williams,,,,1.089,,
,,FRA43749,Nutmeg Solidaire En Peloton,MC 34,Francois Lognone,,,,1.064,,
,,GBR3234L,Rocket Dog II,First 40,Sailing Logic,,,,1.067,,
,,GBR3213L,Dusty P,First 40,Richard Patrick,,,,1.076,,
,,GBR9922T,R&W,J/122,Andy Theobald,,,,1.080,,
,,GBR8883R,Volunteer,First 40.7,Joseph Macdonald,,,,1.054,,
,,GBR4570L,Alcibiades III,Solaris One 44,Christopher R Parker QC,,,,1.073,,
,,GBR1239L,Cassiopeia,Fast 42,Julia Rinck & Dominic Bucholz,,,,1.095,,
,,USA28920,Sunset,J/120,Andy Middleton,,,,1.077,,
,,GBR2722R,Jolly Jellyfish,J/122,David Richards,,,,1.079,,
,,NED9112,Ajeto!,J/122e,Robin Verhoef & John Van Der Starre,,,,1.066,,
,,GBR7811R,Snow Leopard,J/111,Simon Grier-Jones,,,,1.091,,
,,GBR3923L,Merlin,First 40,Sailing Logic,,,,1.074,,
,,FRA36777,Codiam,Grand Soleil 43,Jean Claude Nicoleau,,,,1.094,,
,,GBR1419L,Sidney II,Grand Soleil 50,Bob Mecham & Tanya Sullivan,,,,1.072,,
,,GBR4081L,Julia,Oceanis 55,Richard Neocleous,,,,1.092,,
,,GBR2784L,A'assifa,First 45,Steve Capstick,,,,1.097,,
,,NED7244,Junique Raymarine Sailing Team,J/122,Chris Revelman & Pascal Bakker,,,,1.064,,
,,GBR7380R,Lightning Reflex,Reflex 38,Geoffrey West,,,,1.057,,
,,FRA83,J4f,J/111,Patrice Vidon,,,,1.086,,
,,HKG2289,Explorer,XC 50,Anthony Day,,,,1.079,,
,,GBR3922R,Jangle,J/122,Clive Miles,,,,1.088,,
,,FRA19349,Ster Wenn 5,X 442,Pierre Sallenave,,,,1.085,,
,,GBR43,Abu 43,Figaro II,Christian Teichmann,,,,1.055,,
,,FRA92,Ali,Figaro II,Jean-Francois Leyrat & Domnique Appere,,,,1.068,,
,,GBR970R,Jua Kali,Grand Soleil 43,Performance Yacht Racing,,,,1.080,,
,,GBR724R,40 Love,First 40,East Anglian Sea School,,,,1.082,,
,,FRA28,Tuf…tuf…tuf,Figaro II,Pascal Tuffier,,,,1.068,,
,,SUI4777,Kali,First 47.7,Benedikt Clauberg,,,,1.072,,
,,BEL11111,Djinn,J/111,Sebastien de Liedekerke Beaufort,,,,1.096,,
,,GBR6504N,Talisman,Prima 38,Simon Harwood,,,,1.064,,
,,FRA53081,Cocody,JPK 11.80,Richard Fromentin,,,,1.093,,
,,GBR2806L,Winston Logic,First 40,Sailing Logic,,,,1.071,,
,,SWE69,Blur,J/111,Peter Gustafsson,,,,1.096,,
,,ITA16677,Mon Ile Tevere Remo,First 40,Gianrocco Catalano,,,,1.089,,
,,GBR1513L,Il Corvo,Grand Soleil 43,Astrid De Vin,,,,1.100,,
,,MLT142,Unica,Solaris One 42,Jamie Sammut,,,,1.079,,
,,ANT104,Liquid,J/122,Pamala Baldwin,,,,1.096,,
,,ESP086,Inteman,Figaro II,Daniel Martín,,,,1.065,,
,,ITA17523,Lima Fotodinamico,Giro 34,Francesco Cerina,,,,1.060,,
,,GBR4147L,Team Stupefacente - Joanna,First 40,James Sweetman,,,,1.076,,
