# 2019 RORC Easter Challenge - IRC Two - Entries: 10 (None) - 10 boats - https://www.rorc.org/raceresults/2019/rec-twoos.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
,,GBR9588R,Jacana,J/105,Ross Farrow,,,,1.005,,
,,GBR958R,Jangada,JPK 10.10,Richard Palmer,,,,1.009,,
,,GBR8541R,Jolly Jack Tar,J/109,RNSA,,,,1.009,,
,,GBR8809R,Mojo Risin',J/109,J/109 Racing Limited,,,,1.009,,
,,GBR2986L,Jubilee,J/109,Christopher Preston,,,,1.016,,
,,GBR979R,Malice,Hod 35,Mike Moxley,,,,1.021,,
,,GBR22118L,Leon,J/112e,David Franks,,,,1.046,,
,,GBR112X,Xanaboo,J/112e,Bruce Huber,,,,1.046,,
,,GBR7207T,Playing Around,First 40.7,Ken Docherty,,,,1.052,,
,,GBR43,Abu 43,Figaro II,Christian Teichmann,,,,1.058,,
