# 2015 RORC Mainseries IRC Two - North Sea Race (Fri 15 May 15) - 11 boats - https://www.rorc.org/raceresults/2015/two03.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,91,BEL12345,Azawakh,MC34 Patton,Vincent Willemart and Eric Van Campenhout,Eric van Campenhout,,1 - 01:25:10,1.059,1 - 02:55:09,
2,85,NED6169,Elke,First 40,Frans Rodenburg,,,1 - 01:02:11,1.088,1 - 03:14:23,
3,81,NED9111,Xcentric Ripper,J/111,John van der Starre & Robin Verhoef,2H,,1 - 01:30:40,1.075,1 - 03:25:28,
4,77,NED7345,Stortemelk,X 43,Frans De Vries Lentsch,,,1 - 01:32:44,1.080,1 - 03:35:21,
5,74,GBR720R,Assarain IV,J/133,Angus Bates,,,1 - 01:20:47,1.100,1 - 03:52:52,
6,71,GBR3438L,Jameerah,J/120,Richard Fawcett,Richard Fawcett/Simon Ruffles,,1 - 02:06:58,1.078,1 - 04:09:11,
7,69,NED7244,Junique,J/122,Chris Revelman & Pascal Bakker,2H,,1 - 02:12:46,1.089,1 - 04:32:45,
8,67,GBR8191R,British Soldier,J/111,Army Sailing Association,Donall Ryan,,1 - 02:16:50,1.098,1 - 04:51:22,
9,65,NED8949,Avanti,Grand Soleil 43,Chris Stouten,2H,,1 - 02:36:56,1.086,1 - 04:54:16,
10,63,NED6586,Maverick,J/120,Chris Schram,2H,,1 - 03:45:17,1.055,1 - 05:16:52,
11,61,NED8489,Westwind,Varianta 44,Zeezeilers van Marken,Siebe Schootstra,,1 - 05:30:07,1.070,1 - 07:34:01,
