# 2014 RORC Mainseries IRC Three - Rolex Middle Sea Race (Sat 18 Oct 14) - 21 boats - https://www.rorc.org/raceresults/2014/three13.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,ITA16569,Azuree,Azuree 33,Ballerini Pierpaolo,2H,,5 - 04:38:44,1.022,5 - 07:23:16,
2,94,GBR6738R,Seawolf Acr 2X,Pronavia 38,David Latham,,,5 - 04:54:58,1.039,5 - 09:47:16,
,10,GBR3297L,Gabi Due,Grand Soleil 37 B&C,Peter Sowrey,,,,1.008,,DNF-Did Not Finish
,10,GBR918R,Jarhead,J/109,Gregory Nasmyth,,,,1.014,,DNF-Did Not Finish
,10,RUS2460,Skipperclub,Elan 431,Oleg Smirnov,,,,1.024,,DNF-Did Not Finish
,10,ITA13477,Velenosa,Rimar 36,Marco Valentini,2H,,,1.025,,DNF-Did Not Finish
,10,ITA12770,Anouschka,First Class Europe,Mario Barbetti,2H,,,1.027,,DNF-Did Not Finish
,10,GBR4950T,Magic Dragon,Grand Soleil 50,Richard Dickinson,,,,1.029,,DNF-Did Not Finish
,10,115,Stormy Weather Of Cowes,S & S 53 Classic,Christopher Spray,Tarquin Place,,,1.032,,DNF-Did Not Finish
,10,FRA40,Freyja,Elan 40 Racing,Bernard G. Cordeau,,,,1.032,,DNF-Did Not Finish
,10,MLT341,Ac Marine Tango For 2,T-34,Anthony Camilleri,2H,,,1.036,,DNF-Did Not Finish
,10,ITA11062,Futura,Viva 48,Leonardo Cattaneo,,,,1.037,,DNF-Did Not Finish
,10,MLT407,Maltese Falcon II Double Handed Team,Beneateau First 40.7,Matthew Scicluna,2H,,,1.038,,DNF-Did Not Finish
,10,ITA15037,Sagola Biotrading,Grand Soleil 37,Peppe Fornich,,,,1.039,,DNF-Did Not Finish
,10,MLT018,Salana,Bavaria 46 C,Anna Maria Darmanin,Gareth Thomas,,,1.041,,DNF-Did Not Finish
,10,GBR9383R,Intuition Kabestan,Reflex 38,Yuri Fadeev,,,,1.044,,DNF-Did Not Finish
,10,ITA16691,Magia,Grand Soleil 39,Massimiliano Rizzo,,,,1.046,,DNF-Did Not Finish
,10,TUR2206,The Yacht Tribe,First 40.7,Yann Lythgoe,,,,1.046,,DNF-Did Not Finish
,10,GBR4807R,Little Emily,First 40.7,James Sweetman,2H James Sweetman / Simon Sweetman,,,1.047,,DNF-Did Not Finish
,10,MON46,Foreign Affair,Swan 46 Mk II,Paul Basson,2H,,,1.048,,DNF-Did Not Finish
,10,IRL8407,Encore,First 40.7,Dermot Cronin,Dermot Cronin & Bernard McGranaghan,,,1.050,,DNF-Did Not Finish
