# 2018 RORC Easter Challenge - IRC One - Entries: 16      Races Sailed: 6 (None) - 16 boats - https://www.rorc.org/raceresults/2018/rec-oneos.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
,,GBR8888N,Cobra,King 40,Michael Blair,,,,1.116,,
,,GBR5940R,Nifty,King40,Emily Bowden-eyre,,,,1.115,,
,,GBR4013R,Adventurer out of Sailplane,First 40,Rob Bottomley,,,,1.083,,
,,GBR42N,La Réponse,First 40,Andrew McIrvine,,,,1.080,,
,,FRA76,Pegasus,Farr 30 2.15,Malcolm Wootton,,,,1.075,,
,,GBR7751R,Journeymaker II,J/111,Chris Jones,,,,1.101,,
,,GBR7122X,Juno,J/122e,Christopher Daniel,,,,1.090,,
,,GBR2801X,Toucan,Farr 280,Glyn Locke,,,,1.095,,
,,GBR1521R,Rock Lobster,J/121,Nick Angel,,,,1.112,,
,,GBR011,Pandemonium,Farr 280,Jamie Rankin,,,,1.090,,
,,GBR851R,Cracklin Rosie,Corby 40,Steven Anderson,,,,1.112,,
,,GBR8191R,British Soldier,X 41,Army Sailing Association,,,,1.096,,
,,GBR7877R,Tilt,First 40,Alex & Andy Moore,,,,1.085,,
,,GBR9235R,Mad Max,Max Fun 35,Andy Williams,,,,1.081,,
,,GBR1111X,Jitterbug,J/111,Cornel Riklin,,,,1.095,,
,,GBR8611R,Kestrel,J/111,Simon Bamford,,,,1.099,,
