# 2015 RORC Mainseries IRC Four - De Guingand Bowl Race (Fri 5 Jun 15 19:30:00) - 27 boats - https://www.rorc.org/raceresults/2015/four05.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,FRA37310,Foggy Dew,JPK 10.10,Noel Racine,,6 Jun - 15:01:53,19:31:53,1.003,19:35:24,
2,94,GBR123,Xara,Swan SR 38,Jonathan Rolls,,6 Jun - 16:34:16,21:04:16,0.938,19:45:53,
3,90,FRA27550,Sous Mama Boulé,JPK 9.60,Ludovic Melnyk,2H,6 Jun - 16:02:30,20:32:30,0.976,20:02:55,
4,86,GBR8287,Persephone of London,Sigma 38,Nigel Goodhew,Tim Goodhew,6 Jun - 15:55:55,20:25:55,0.982,20:03:51,
5,83,GBR4365T,Haven KJ Enigma,MG 346,Ian Braham,,6 Jun - 16:35:34,21:05:34,0.952,20:04:49,
6,80,FRA36840,Columbus Circle,A31,Hugo Tardivel,,6 Jun - 16:08:02,20:38:02,0.987,20:21:56,
7,78,FRA9778,Fluke,Sun Fast 3200,Jean-Baptiste Crepin,,6 Jun - 16:03:11,20:33:11,0.994,20:25:47,
8,76,GBR8799T,Wild Spirit,Sun Odyssey 40,Paul Jackson,,6 Jun - 16:17:40,20:47:40,0.983,20:26:27,
9,74,GBR8956R,Mzungu,Sun Fast 3200,Tony White,2H,6 Jun - 15:59:52,20:29:52,0.999,20:28:38,
10,72,GBR8338,With Alacrity,Sigma 38,Chris Choules,Chris & Vanessa Choules and Friends,6 Jun - 16:28:01,20:58:01,0.982,20:35:22,
11,70,GBR5963T,Pyxis,X 332,Kirsteen Donaldson,2H,6 Jun - 17:05:42,21:35:42,0.957,20:39:59,
12,68,GBR8377,Gauntlet of Tamar,Sigma 38,Andrew Canning,,6 Jun - 16:35:17,21:05:17,0.982,20:42:30,
13,66,GBR3297,Galliver II,Sigma 38,Stephen Orland,,6 Jun - 16:40:59,21:10:59,0.982,20:48:06,
14,65,GBR8146,Vitesse,Sigma 38,Jon England,,6 Jun - 16:43:58,21:13:58,0.982,20:51:02,
15,64,GBR9693T,A'Assifa,Dofour 34 Performance,Steve Capstick,,6 Jun - 16:48:04,21:18:04,0.979,20:51:14,
16,63,FRA3333,Shortgood,First Class 10,Renaud Courbon,2H,6 Jun - 16:35:56,21:05:56,0.992,20:55:48,
17,62,GBR1174L,Taika,J/105,Stuart Rhys-williams,2H,6 Jun - 16:29:13,20:59:13,1.001,21:00:29,
18,61,GBR8303,Mouflon Noir,Sigma 38,Roy Lambden,Alasdair Boden,6 Jun - 17:07:35,21:37:35,0.982,21:14:14,
19,60,GBR3708R,One Life,Sun Fast 37,Hamble School of Yachting,James Pearson,6 Jun - 18:28:43,22:58:43,0.977,22:27:00,
20,59,GBR7662T,Tyke,X 332,Brian Thomas,,6 Jun - 18:44:21,23:14:21,0.975,22:39:29,
21,58.5,GBR8908R,Annika,Malo 43 Classic,John Burns,,6 Jun - 19:01:51,23:31:51,0.976,22:57:58,
22,58,GBR1007L,Diamonds Are Forever,Elan 37,Girls for Sail,Catherine Vise,6 Jun - 18:34:46,23:04:46,1.002,23:07:32,
23,57.5,GBR3917,Tantrum Of Langstone,Sigma 36,Chris Staples,,6 Jun - 21:05:00,1 - 01:35:00,0.951,1 - 00:19:47,
24,57,GBR1751T,Spellbinder Of Wytch,Starlight 39,Phoenix Yacht Club,Trevor Nicholls,6 Jun - 21:51:49,1 - 02:21:49,0.944,1 - 00:53:14,
25,56.5,GBR7733T,Quantum Leap,Sun Fast 37,Chris Rushton,Andrew Holloway,6 Jun - 21:25:06,1 - 01:55:06,0.977,1 - 01:19:20,
,10,FRA43669,Funchal III,Salona 35,Jean-Jacques Nere,2H,,,0.999,,DNF-Did Not Finish
,10,GBR7716R,Psipsina,Hod 35,Bernie Bingham,2H,,,1.002,,DNF-Did Not Finish
