# 2015 RORC Mainseries IRC Overall - Cervantes Trophy Race (Sat 2 May 15) - 110 boats - https://www.rorc.org/raceresults/2015/ircoverall02.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,FRA43772,Courrier Du Leon,JPK 10.80,Géry Trentesaux,,,19:46:26,1.050,20:45:45,
2,94,FRA38568,Pintia,J/133,Gilles Fournier,,,19:05:17,1.095,20:54:05,
3,90,FRA43645,Raphaello,JPK 10.80,Arnaud Delamare and Eric Mordret,,,20:04:26,1.042,20:55:01,
4,84.5,FRA38895,Night And Day,JPK 10.10,Pascal Loison,2H,,20:52:18,1.009,21:03:34,
4,84.5,GBR4947R,Lisa,First 44.7,Nicholas Jones,,,19:04:32,1.104,21:03:34,
6,80,GBR42N,La Réponse,First 40,Andrew McIrvine,,,19:26:33,1.084,21:04:32,
7,78,NED118,Winsome,S&S 41,Harry J. Heijst,,,21:23:36,0.987,21:06:55,
8,76,GBR2215L,Quokka 8,Grand Soleil 43,Michael Boyd,,,19:15:52,1.099,21:10:18,
9,74,FRA37310,Foggy Dew,JPK 10.10,Noel Racine,,,21:09:31,1.003,21:13:20,
10,72,GBR3657L,Bellino,Sun Fast 3600,Rob Craigie,2H,,20:36:17,1.039,21:24:30,
11,70,FRA38902,Raging Bee,JPK 10.10,Louis-Marie Dussere,2H,,21:17:21,1.006,21:25:01,
12,68,GBR795R,Ninjod,Sun Fast 3600,Paul Brant,2H,,20:42:21,1.040,21:32:03,
13,66,GBR958R,Pincer Movement,JPK 10.10,Richard Searle,2H,,21:23:45,1.008,21:34:01,
14,65,GBR7383R,PRD Konsult Puma,Reflex 38,Stuart Wilkie,Peter Westerlund,,20:25:44,1.063,21:42:57,
15,64,FRA27550,Sous Mama Boulé,JPK 9.60,Ludovic Melnyk,2H,,22:16:06,0.976,21:44:02,
16,63,GBR4013R,Sailplane,First 40,Rob Bottomley,Jonas Sandberg,,20:03:59,1.084,21:45:07,
17,62,FRA9677,Orange mecaniX,X 41,Maxime de Mareuil,,,19:58:00,1.096,21:53:00,
18,61,GBR5355N,Phosphorus,Rodman 42,Mark Emerson,,,19:23:53,1.129,21:54:01,
19,60,GBR8537R,Jangada Too,J/109,Richard Palmer,,,21:43:00,1.009,21:54:44,
20,59,FRA27754,Clezio,Grand Soleil 39,Yvon Haquet,,,21:19:14,1.030,21:57:37,
21,58.5,GBR5809R,Jelenko,J/109,Trevor Sainty,,,21:48:57,1.009,22:00:44,
22,58,GBR9205R,Diablo-J,J/105,Nick Martin,2H,,21:53:31,1.006,22:01:24,
23,57.5,GBR741R,Hooligan VII,Ker 40,Edward Broadway,,,18:29:36,1.193,22:03:45,
24,57,GBR6865R,Jagerbomb,J/109,Paul Griffiths,2H,,21:51:54,1.010,22:05:01,
25,56.5,GBR979R,Malice,HOD 35,Mike Moxley,2H,,21:54:19,1.009,22:06:09,
26,56,GBR7909R,Jolene II,J/109,Philip Nelson,,,21:45:14,1.017,22:07:25,
27,55.5,GBR7384R,Sirens' Tigress,Reflex 38,Glenny / Child / Keam-George,Susan Glenny,,21:00:52,1.053,22:07:42,
28,55,GBR6709R,J-T'Aime,J/109,Christopher Palmer,,,21:56:13,1.012,22:12:01,
29,54.5,GBR8643T,Arcsine,Arcona 370,Kathy Claydon,,,21:34:52,1.029,22:12:25,
30,54,GBR7041R,Anticipation,First 40.7,Peter Newlands,,,21:01:47,1.056,22:12:27,
31,53.5,FRA35966,Dr Feelgood (again),A 35,Sebastien Delasnerie,,,21:37:52,1.027,22:12:55,
32,53,GBR1404R,Flair IV,Elan 40,Ashley Harris,2H Ashley Harris/Pip Hare,,21:46:48,1.021,22:14:15,
33,52.5,FRA15055,Princesse Gotionude,JOD 35,Nicolas Dezeustre,,,21:48:12,1.020,22:14:22,
34,52,GBR8529R,Jazzy Jellyfish,J/109,Kevin Armstrong,,,21:55:24,1.015,22:15:08,
35,51.5,GBR851R,Cracklin Rosie,Corby 40,Steven Anderson,,,20:09:54,1.104,22:15:44,
36,51,GBR6504N,Talisman,Prima 38,Simon Harwood,,,20:51:59,1.067,22:15:52,
37,50.5,GBR4365T,Haven KJ Enigma,MG 346,Ian Braham,,,23:29:53,0.952,22:22:13,
38,50,GBR123,Xara,Swan SR 38,Jonathan Rolls,,,23:57:44,0.938,22:28:36,
39,49.5,GBR4343C,Tweak,JOD 35,Richard Breese,2H,,22:12:56,1.012,22:28:56,
40,49,GBR6809R,Jybe Talkin',J/109,Christopher Burleigh,,,22:13:19,1.013,22:30:39,
41,48.5,FRA19999,Yoalla 4,Fauroux 34,Yves Fouchet,,,22:25:54,1.006,22:33:59,
42,48,GBR9604R,Nunatak,J/120,Elin Haf Davies,2H,,21:23:49,1.055,22:34:26,
43,47.5,GBR6525N,Revive,Prima 38,Paul A Farrands,,,21:04:18,1.074,22:37:51,
44,47,GBR8633R,Jings,J/133,David Ballantyne,,,20:25:50,1.109,22:39:27,
45,46.5,GBR5963T,Pyxis,X 332,Kirsteen Donaldson,2H,,23:45:15,0.957,22:43:58,
46,46,GBR1682R,Tokoloshe II,GP 42,Michael Bartholomew,,,17:58:31,1.265,22:44:19,
47,45.5,GBR7743R,Kestrel,Arcona 410,Simon Bamford,,,21:07:27,1.077,22:45:03,
48,45,FRA29961,Tusen Takk II,JPK 9.60,Philippe Auber,2H,,23:16:37,0.978,22:45:53,
