# 2012 RORC Mainseries IRC Two - 50th Deauville Race / Cervantes Trophy (Fri 1 Jun 12 14:40:00) - 20 boats - https://www.rorc.org/raceresults/2012/two04.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,FRA5040,Beelzebuth 3,Grand Soleil 40,Olivier Pesci,,2 Jun - 09:29:00,18:49:00,1.063,20:00:08,
2,94,GBR7383R,Visit Malta Puma,Reflex 38,Sailing Logic Ltd,James Gair,2 Jun - 09:24:02,18:44:02,1.068,20:00:28,
3,90,GBR42N,La Réponse,First 40,Andrew McIrvine,,2 Jun - 09:21:19,18:41:19,1.086,20:17:45,
4,86,FRA38485,Courrier Vintage,MC34 Patton,M de Saint Denis & G Trentesaux,,2 Jun - 10:02:01,19:22:01,1.058,20:29:25,
5,83,GBR6693T,Fandango,First 40.7,Adam Ridett & Brendan McMahon,,2 Jun - 10:02:52,19:22:52,1.058,20:30:19,
6,80,GBR1010L,Xinska,X 40,Bernard Olesinski,Orion Shuttleworth,2 Jun - 10:03:18,19:23:18,1.058,20:30:46,
7,78,GBR9885T,Profile,First 40.7,Rasim Poloskin,,2 Jun - 10:01:58,19:21:58,1.063,20:35:10,
8,76,GBR9383R,Intuition,Reflex 38,Yuri Fadeev,,2 Jun - 10:12:58,19:32:58,1.056,20:38:39,
9,74,GBR7382R,Jaguar Logic,Reflex 38,Sailing Logic Ltd,,2 Jun - 10:08:10,19:28:10,1.065,20:44:06,
10,72,GBR5236R,Rare,Figaro II,Ian Hoddle,2H,2 Jun - 09:47:21,19:07:21,1.094,20:55:12,
11,70,GBR1290R,J Fever,J/120,Frances & Tim Lester,,2 Jun - 10:17:26,19:37:26,1.073,21:03:23,
12,68,GBR2949L,OJE,J/111,Andy Hill,,2 Jun - 09:55:14,19:15:14,1.094,21:03:50,
13,66,FRA27873,Moonlighting,Bavaria 42 Match,Patrick Nepveu,,2 Jun - 10:29:54,19:49:54,1.063,21:04:52,
14,65,GBR9495R,Circus,Seaquest 36,Andrew Webster,,2 Jun - 10:12:55,19:32:55,1.080,21:06:45,
15,64,GBR5502T,Swan Galiana,Swan 55 Yawl,Patrick Green,,2 Jun - 10:29:41,19:49:41,1.069,21:11:46,
16,63,GBR1429L,British Soldier,A 40,Army Sailing Association,Nicholas Bate,2 Jun - 10:11:51,19:31:51,1.094,21:22:00,
17,62,GBR7727T,Ballistic,First 40.7,Richard Hammons,,2 Jun - 10:54:45,20:14:45,1.056,21:22:47,
18,61,GBR7111L,J-Dream,J/111,David & Kirsty Apthrop,,2 Jun - 10:41:40,20:01:40,1.094,21:54:37,
19,60,GBR503R,Oxygen III,Corby 34,Michael Birmingham,,2 Jun - 11:38:50,20:58:50,1.059,22:13:06,
20,59,GBR9447R,Water Venture,First 44.7,Edmund Broadbent,,2 Jun - 12:54:40,22:14:40,1.097,1 - 00:24:08,
