# 2016 RORC Mainseries IRC Two-Handed - Ile d'Ouessant Race (Sun 14 Aug 16) - 13 boats - https://www.rorc.org/raceresults/2016/twohanded12.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,93,FRA38895,Night And Day,JPK 10.10,Pascal Loison,,,2 - 23:42:11,1.002,2 - 23:50:47,
2,87,FRA38902,Raging Bee,JPK 10.10,Louis-Marie Dussere,,,3 - 00:28:09,1.006,3 - 00:54:14,
3,83,GBR958R,Jangada,JPK 10.10,Richard Palmer,,,3 - 03:39:42,1.009,3 - 04:20:33,
4,79,MLT105,Bigfoot,J/105,Robert Nelson,,,3 - 06:49:32,0.997,3 - 06:35:21,
5,76,GBR9205R,Diablo-j,J/105,Nick Martin,,,3 - 07:29:40,1.005,3 - 07:53:31,
6,73,GBR5253,Silver Shamrock,Shamrock 1/2 Ton Prototype,Stuart Greenfield,,,3 - 21:03:29,0.884,3 - 10:15:48,
7,71,GBR5963T,Pyxis,X 332,Kirsteen Donaldson,,,3 - 21:14:08,0.956,3 - 17:07:59,
,10,FRA43653,Nirvana,Sun Fast 3200,Keith Thompson,,,,0.997,,DNF-Did Not Finish
,10,USA60507,Bonfire IV,J/109,Island Charters,,,,1.009,,DNF-Did Not Finish
,10,GBR8380R,Elixir,Elan 380,Felicity Gabbay,,,,1.023,,DNF-Did Not Finish
,10,GBR7735R,Eaujet,A 35,Richard Elliott,,,,1.024,,DNF-Did Not Finish
,10,NED6586,Maverick,J/120,Chris Schram,,,,1.053,,DNF-Did Not Finish
,10,56,Redshift,Figaro II,Ed Fishwick,,,,1.071,,DNF-Did Not Finish
