# 2017 RORC Mainseries IRC Four - Myth of Malham Race (Sat 27 May 17 10:30:00) - 38 boats - https://www.rorc.org/raceresults/2017/four05.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,GBR8338,With Alacrity,Sigma 38,Chris Choules,,29 May - 17:03:35,2 - 06:33:35,0.982,2 - 05:34:40,
2,94,FRA37310,Foggy Dew,JPK 10.10,Noel Racine,,29 May - 17:13:42,2 - 06:43:42,1.003,2 - 06:53:33,
3,90,FRA3333,Shortgood,First Class 10,Renaud Courbon and Emmanuel Winsback,2H,29 May - 19:09:55,2 - 08:39:55,0.988,2 - 07:59:07,
4,86,GBR5253,Silver Shamrock,Shamrock 1/2 Ton Prototype,Stuart Greenfield,2H,30 May - 03:27:37,2 - 16:57:37,0.887,2 - 09:37:11,
5,83,NED118,Winsome,S&S 41,Harry J. Heijst,,29 May - 22:54:50,2 - 12:24:50,0.987,2 - 11:37:43,
6,80,GBR1178X,Easy Glider,S&S 41,Oliver Hughes,,30 May - 01:34:00,2 - 15:04:00,0.951,2 - 11:58:35,
7,78,MLT105,Bigfoot,J/105,Robert Nelson,2H,29 May - 22:55:25,2 - 12:25:25,1.001,2 - 12:29:03,
8,76,GBR5963T,Pyxis,X 332,Kirsteen Donaldson,2H,30 May - 02:06:31,2 - 15:36:31,0.956,2 - 12:48:35,
9,74,GBR1013L,Vela Fresca,Dufour 34,Neil Matson,2H,30 May - 04:19:18,2 - 17:49:18,0.951,2 - 14:35:47,
10,72,GBR4077L,Silver Bear,Najad 361,Stephen Taylor,2H,30 May - 06:21:23,2 - 19:51:23,0.924,2 - 14:41:57,
11,70,POL12922,Errislannan,Sigma 38 ood,Sailpro Sailing School,Szymon Kuczynski,30 May - 02:54:00,2 - 16:24:00,0.982,2 - 15:14:27,
12,68,GBR3200N,All Or Nothing,Sun Fast 3200,Chris Blackburn & Simon Dipple,Chris Blackburn,30 May - 02:22:00,2 - 15:52:00,0.995,2 - 15:32:50,
13,66,GBR7657T,Castalia,Sun Fast 37,Andrew Butler,2H,30 May - 04:10:57,2 - 17:40:57,0.979,2 - 16:18:11,
14,65,GBR912R,Polka,First 34.7,Marcus Wareham,,30 May - 10:30:30,3 - 00:00:30,0.994,2 - 23:34:35,
,10,GBR4902,Shila,Sigma 33,Jens Pace and Anthony Fielding,Anthony Fielding,,,0.905,,DNF-Did Not Finish
,10,GBR4944R,Ushaka,Optima 101,Tim Cork,,,,0.911,,DNF-Did Not Finish
,10,GBR2421,Sheevra,Swan 36,Jonathan Wallis,,,,0.913,,DNF-Did Not Finish
,10,GBR3542L,Arwen,Dehler 34 1.76,Mark Yates-smith,,,,0.922,,DNF-Did Not Finish
,10,GBR3704L,Floating Point,Dufour 365 Grand Large,David Anderson,,,,0.935,,DNF-Did Not Finish
,10,GBR123,Xara,Swan SR 38,Jonathan Rolls,,,,0.938,,DNF-Did Not Finish
,10,GBR4315L,Pipe Dream II,Beneteau 31.7,Jason Newell,,,,0.940,,DNF-Did Not Finish
,10,GBR1215N,Surprise,Sweden Yachts 390,Simon Janion,,,,0.958,,DNF-Did Not Finish
,10,GBR815,Longue Pierre,Dehler 38,D Cooper & P England,David Cooper,,,0.963,,DNF-Did Not Finish
,10,GBR6687T,Skywave,Elan 333,Royal Signals Yacht Club,Al Smith,,,0.963,,DNF-Did Not Finish
,10,GBR2875L,Aventurera,Elan 333 1.90,David Gough,,,,0.969,,DNF-Did Not Finish
,10,GBR9088R,Altostratus,Sunfast 35,Julian Hickey,Dafydd Biffen,,,0.972,,DNF-Did Not Finish
,10,GBR1889L,Purple Mist,Sun Odyssey 36 I,Katherine Cope,2H,,,0.976,,DNF-Did Not Finish
,10,GBR8799T,Wild Spirit,Sun Odyssey 40,Paul Jackson,,,,0.981,,DNF-Did Not Finish
,10,GBR6388T,Marta,Sigma 38,Brian Skeet,,,,0.982,,DNF-Did Not Finish
,10,GBR8307,Paracelsus,Sigma 38,Neil Holden,,,,0.982,,DNF-Did Not Finish
,10,GBR8367,Rho,Sigma 38,Equinox Sailing,Simon Wilson,,,0.982,,DNF-Did Not Finish
,10,GBR922R,Juno,X 34,Charles Whittam,,,,0.994,,DNF-Did Not Finish
,10,GBR3705L,Whistledown IV,Feeling 1350,Graham Howat,,,,0.994,,DNF-Did Not Finish
,10,GBR6708R,Tacktic,Elan 37,Dan Rigden,,,,0.994,,DNF-Did Not Finish
,10,FRA43653,Nirvana,Sun Fast 3200,Keith Thompson,2H,,,0.995,,DNF-Did Not Finish
,10,GBR3789L,Just Plain Krazy,JPK 10.10,Stephen Hills,2H,,,0.999,,DNF-Did Not Finish
,10,GBR8805R,Jaldi,J/105,Mary Sturgess,2H,,,1.000,,DNF-Did Not Finish
,10,GBR1652R,Ithaka,Swan 44,Giovanni Mazzocchi,,,,1.003,,DNF-Did Not Finish
