# 2017 RORC Mainseries IRC Four - Channel Race (Sat 22 Jul 17 10:00:00) - 25 boats - https://www.rorc.org/raceresults/2017/four11.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,FRA38895,Night And Day,JPK 10.10,Pascal Loison,2H,23 Jul - 12:36:22,1 - 02:36:22,1.003,1 - 02:41:09,
2,94,FRA37310,Foggy Dew,JPK 10.10,Noel Racine,,23 Jul - 12:43:02,1 - 02:43:02,1.003,1 - 02:47:51,
3,90,GBR123,Xara,Swan SR 38,Jonathan Rolls,,23 Jul - 15:27:07,1 - 05:27:07,0.938,1 - 03:37:33,
4,86,GBR815,Longue Pierre,Dehler 38,D Cooper & P England,David Cooper,23 Jul - 14:50:38,1 - 04:50:38,0.963,1 - 03:46:36,
5,83,GBR8338,With Alacrity,Sigma 38,Chris Choules,,23 Jul - 14:25:37,1 - 04:25:37,0.982,1 - 03:54:55,
6,80,NED118,Winsome,S&S 41,Harry J. Heijst,,23 Jul - 14:18:39,1 - 04:18:39,0.990,1 - 04:01:40,
7,78,GBR8749T,Pomeroy Swan,Swan 44,Paul Kavanagh,Andy Greenwood,23 Jul - 15:42:34,1 - 05:42:34,0.985,1 - 05:15:50,
8,76,GBR4944R,Ushaka,Optima 101,Tim Cork,,23 Jul - 18:32:33,1 - 08:32:33,0.911,1 - 05:38:46,
9,74,GBR8396,Sam,Sigma 38,Peter Hopps,,23 Jul - 16:53:10,1 - 06:53:10,0.976,1 - 06:08:41,
10,72,GBR5253,Silver Shamrock,Shamrock 1/2 Ton Prototype,Stuart Greenfield,2H,23 Jul - 20:23:52,1 - 10:23:52,0.887,1 - 06:30:39,
11,70,GBR8956R,Mzungu,Sun Fast 3200,Tony White,2H,23 Jul - 17:02:57,1 - 07:02:57,0.997,1 - 06:57:22,
12,68,MLT105,Bigfoot,J/105,Robert Nelson,2H,23 Jul - 16:58:40,1 - 06:58:40,1.001,1 - 07:00:32,
13,66,GBR1652R,Ithaka,Swan 44,Giovanni Mazzocchi,,23 Jul - 16:59:10,1 - 06:59:10,1.003,1 - 07:04:45,
14,65,GBR5963T,Pyxis,X 332,Kirsteen Donaldson,2H,23 Jul - 19:04:10,1 - 09:04:10,0.956,1 - 07:36:52,
15,64,POL12922,Errislannan,Sigma 38 ood,Sailpro Sailing School,Szymon Kuczynski,23 Jul - 19:03:00,1 - 09:03:00,0.982,1 - 08:27:18,
16,63,GBR7657T,Castalia,Sun Fast 37,Andrew Butler,2H,23 Jul - 19:36:42,1 - 09:36:42,0.979,1 - 08:54:21,
17,62,FRA43653,Nirvana,Sun Fast 3200,Keith Thompson,2H,23 Jul - 19:04:33,1 - 09:04:33,0.995,1 - 08:54:38,
18,61,GBR3705L,Whistledown IV,Feeling 1350,Graham Howat,,23 Jul - 19:09:20,1 - 09:09:20,0.994,1 - 08:57:24,
19,60,GBR8367,Rho,Sigma 38,Equinox Sailing,Simon Wilson,23 Jul - 20:25:00,1 - 10:25:00,0.982,1 - 09:47:50,
20,59,GBR3917,Tantrum Of Langstone,Sigma 36,Chris Staples,,24 Jul - 01:36:00,1 - 15:36:00,0.939,1 - 13:11:04,
21,58.5,GBR8805R,Jaldi,J/105,Mary Sturgess,2H,24 Jul - 06:19:24,1 - 20:19:24,1.000,1 - 20:19:24,
,10,GBR7253T,Ilex of Upnor,X 332,REYC,Al Smith,,,0.965,,DNF-Did Not Finish
,10,GBR1889L,Purple Mist,Sun Odyssey 36 I,Katherine Cope,2H,,,0.976,,DNF-Did Not Finish
,10,ESP1262,Giraldilla,Sparkman & Stephens 52,Valle de la Riva,,,,0.980,,DNF-Did Not Finish
,10,GBR3556L,Harriet Marwood,Custom Collins 40 Tandem Keel,Bryan Mullarkey,,,,0.983,,DNF-Did Not Finish
