# 2020 Summer Series - IRC 3 - Summer Series - Race 4 (Sun 6 Sep 20 09:30:00) - 42 boats - https://www.rorc.org/raceresults/2020/summerseries-three04.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,1,GBR7933R,Fastrak XII,Sun Fast 3300,Nigel de Quervain Colley,Henry Bomby,16:52:52,7:22:52,1.027,7:34:49,
2,2,SWE450,Emily Of Cowes,Elan 450,Richard Oswald,Neil Maher,17:08:49,7:38:49,1.042,7:58:05,
3,3,GBR1663R,Chilli Pepper,Sun Fast 3300,Jim Driver,,17:18:46,7:48:46,1.032,8:03:46,
4,4,GBR7041R,Anticipation,First 40.7,Peter Newlands,,17:28:10,7:58:10,1.032,8:13:28,
5,5,GBR8809R,Mojo Risin',J/109,J/109 Racing Limited,Rob Cotterill,17:53:22,8:23:22,1.008,8:27:24,
,43,GBR795R,Diablo,Sun Fast 3600,Nick Martin,,,,1.031,,DNS-Did Not Start
,43,GBR8936R,Black Sheep,Sun Fast 3600,Trevor Middleton,Jacob Carter,,,1.037,,DNS-Did Not Start
,43,GBR8657L,Bellino,Sun Fast 3600,Rob Craigie,,,,1.041,,DNF-Did Not Finish
,43,GBR3111N,Mostly Harmless,J/105,Tom Hayhoe and Natalie Jobling,Natalie Jobling,,,1.004,,DNC-Did Not Come to Starting Area
,43,GBR6809R,Jybe Talkin',J/109,Christopher Burleigh,,,,1.004,,DNC-Did Not Come to Starting Area
,43,GBR8367T,Red Hawk,First 36.7,James Armstrong,,,,1.004,,DNC-Did Not Come to Starting Area
,43,GBR9779T,Jago,J/109,Mike Yates,,,,1.005,,DNC-Did Not Come to Starting Area
,43,GBR2L,Jigsaw,J/109,Chris Andrews,Joe (joseph Thomas) Sutton,,,1.006,,DNC-Did Not Come to Starting Area
,43,GBR3L,Jomalija,J/109,Joppe Schepers and Jasper Heikens,Joppe Schepers,,,1.006,,DNC-Did Not Come to Starting Area
,43,GBR6908R,Ajax,J/109,Royal Armoured Corps Yacht Club,Craig Circuit,,,1.006,,DNC-Did Not Come to Starting Area
,43,GBR8643T,Arcsine,Arcona 370,Kathy Claydon,,,,1.006,,DNC-Did Not Come to Starting Area
,43,GBR8901R,Jiraffe,J/109,Simon Perry,,,,1.010,,DNC-Did Not Come to Starting Area
,43,IRL8088,Jedi,J/109,Anthony Tahourdin,,,,1.011,,DNC-Did Not Come to Starting Area
,43,GBR7899R,Jet,J/99,James Owen,,,,1.013,,DNC-Did Not Come to Starting Area
,43,GBR7581R,Azora,C & C 115,Stephen Thomas,,,,1.016,,DNC-Did Not Come to Starting Area
,43,GBR7735R,Eaujet,A35,Richard Elliott,,,,1.017,,DNC-Did Not Come to Starting Area
,43,GBR1575L,Pure Attitude,X 37,Martin Gray,,,,1.018,,DNC-Did Not Come to Starting Area
,43,GBR9328T,Intemperance,Sigma 400,Paul & Val Shilling,Paul Shilling,,,1.018,,DNC-Did Not Come to Starting Area
,43,GBR6834R,Alamara IV,Grand Soleil 34,Ole Bettum,,,,1.021,,DNC-Did Not Come to Starting Area
,43,GBR1352R,No Chance,First 35,Chris Panting,,,,1.023,,DNC-Did Not Come to Starting Area
,43,GBR6890R,Gentoo,Sun Fast 3300,James Harayda,,,,1.026,,DNC-Did Not Come to Starting Area
,43,GBR833X,Hooligan VIII,Sun Fast 3300,Edward Broadway,,,,1.028,,DNC-Did Not Come to Starting Area
,43,GBR4688R,Tigris,J/88,Gavin Howe,,,,1.031,,DNC-Did Not Come to Starting Area
,43,GBR9824,Njos,Corby 35,Tim Octon,,,,1.033,,DNC-Did Not Come to Starting Area
,43,GBR1488R,Jumunu 5,J/88,Alistair Ray,,,,1.035,,DNC-Did Not Come to Starting Area
,43,GBR4022R,Sunsail 4022,First 40,Petr Denisenko,,,,1.036,,DNC-Did Not Come to Starting Area
,43,GBR711N,Kimanche Eve II,Jpk 10.80,Mark Franklin,,,,1.038,,DNC-Did Not Come to Starting Area
,43,GBR6070L,Scaramouche,Frers 45,Greig City Academy,Jonathan Holt,,,1.039,,DNC-Did Not Come to Starting Area
,43,GBR3759L,Jelenko II,Sun Fast 3600,Jonathan Bevan,,,,1.040,,DNC-Did Not Come to Starting Area
,43,USA61287,Sea Bear,Sun Fast 3300,Peter Bacon,,,,1.040,,DNC-Did Not Come to Starting Area
,43,GBR1694R,Exuberant,X-412,Robert Hillman,,,,1.041,,DNC-Did Not Come to Starting Area
,43,GBR6693T,Fandango,First 40.7,Brendan McMahon,Brendan McMahon & Phil Downey,,,1.042,,DNC-Did Not Come to Starting Area
,43,GBR2729R,Jellyfish,Sun Fast 3600,David Richards,Laurence Mead,,,1.044,,DNC-Did Not Come to Starting Area
,43,GBR112X,Xanaboo,J/112e,Bruce Huber,,,,1.046,,DNC-Did Not Come to Starting Area
,43,GBR9949T,Fireball,First 40.7,Chris Clark,,,,1.046,,DNC-Did Not Come to Starting Area
,43,GBR748R,Happy Daize,J/112e,Knight Build Limited,James Chalmers,,,1.048,,DNC-Did Not Come to Starting Area
,43,SWE50,Vendetta,Fareast28r,Lucian Stone,,,,1.050,,DNC-Did Not Come to Starting Area
