# 2013 RORC Mainseries IRC Zero - Entries: 40      Races Sailed: 9      Discard: 4 (None) - 40 boats - https://www.rorc.org/raceresults/2013/zeroos.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
,,SWE20002,Pleomax,Volvo 60,Harm Prins,,,,1.415,,
,,US60006,Venomous,Carroll Marine 60,Windward Sailing,,,,1.351,,
,,GBR521R,Toe in the Water,Farr 52,Toe in the Water,,,,1.318,,
,,USA45,Bella Mente,JV 72 Custom,Hap Fauth,,,,1.593,,
,,NED7550,Team Heiner One,Volvo 60,Roy Heiner,,,,1.431,,
,,GBR7236R,Robertissima III,JV 72,Luca Simone,,,,1.590,,
,,FRA43534,Libertalia - Team Jolokia,Volvo 60,Pierre Meisel,,,,1.467,,
,,GBR528R,Pace,TP 52,Johnny Vincent,,,,1.375,,
,,ESP9933,Plis Play,Swan 80,EMV Nauticgroup,,,,1.348,,
,,ITA5200,B2,IRC 52,Michele Galli,,,,1.389,,
,,YC3300,Secret Mens Business 3.5,RP 51,Geoffrey Boettcher,,,,1.352,,
,,CAY27,Adela,Dijkstra,Adela Ltd,,,,1.388,,
,,RUS2260,Petite Flamme,Swan 60,Dmitry Samokhin,,,,1.329,,
,,ITA65001,Nikka Sixty Five,65' sloop,Roberto Lacorte,,,,1.389,,
,,GBR112L,Nilaya,Baltic 112,Filip Balcaen,,,,1.591,,
,,RUS2660,SGM,Swan 60,Igor Frolov,,,,1.334,,
,,GER6261,Emma,Swan 60,Johann Killinger,,,,1.335,,
,,GBR9059R,Nefertiti,Swan 90,Anders Nordquist,,,,1.471,,
,,RUS2460,Bronenosec,Swan 60,Vladimir 	Liubomirov,,,,1.333,,
,,CAY65,Caro,Botin IRC 65,Roccomare Ltd,,,,1.484,,
,,ESP9777,Gran Jotiti,Barracuda-Yacht Design,Ernesto Cortina,,,,1.291,,
,,GBR8728R,Alegre,Mills 72,Andres Soriano,,,,1.585,,
,,GER6700,Varuna,Ker 51,Jens Kellinghusen,,,,1.381,,
,,HUN7002,Wild Joe,RP Custom 60,Marton Jozsa,,,,1.488,,
,,USA28992,Locura,Nelson/Marek 92 Custom,Hector Velarde,,,,1.323,,
,,USA7575,Blackbird,Tripp 75,Jan Rupert,,,,1.473,,
,,GER6300,Haspa Hamburg,JV 52 Custom,Hamburgischer Verein Seefahrt e.V.,,,,1.311,,
,,IRL1416,Cape Arrow,Southern Wind 100' RS,Tuskar Shipping Ltd,,,,1.447,,
,,GBR1388N,Athos,Hoek 56m Custom,Antony Brookes,,,,1.457,,
,,SUI4200,Kuka-Light,One Off 42,Franco Niggeler,,,,1.430,,
,,ITA2300,Tyke,FY 61,Marco Serafini,,,,1.308,,
,,CZE100,Fulcrum II,Class40,Marek Chatrny,,,,1.311,,
,,FRA1575,Med Spirit,Welbourn 92,Didier Lacombe,,,,1.682,,
,,FRA38565,Shamlor,Nacira 67,Benoit Torset & Oscar Konyukov,,,,1.438,,
,,ITA69,Waypoint,Class40,Damir Chargo,,,,1.284,,
,,CRO1040,Big One,WOR 60,Damir Repac,,,,1.406,,
,,ITA12411,Moon Shine,Cori 52.5,Edo Ziccarelli,,,,1.351,,
,,GBR100L,Liara,Performance Yachts 100,Peter Metcalfe,,,,1.467,,
,,GBR800N,Idea of London,RP 78,Marine Charters,,,,1.485,,
,,IRL77777,Whisper,Reichel Pugh 78,Mark Dicker,,,,1.399,,
