# 2022 IRC Double Handed National Championships - Entries: 18      Races Sailed: 2 (None) - 17 boats - https://www.rorc.org/raceresults/2022/irc2hnatos.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
,,GBR9779T,JAGO,J/109,Mike Yates,,,,1.006,,
,,GBR8657L,Bellino,Sun Fast 3600,Rob Craigie,,,,1.034,,
,,GBR795R,Diablo,Sun Fast 3600,Nick Martin,,,,1.030,,
,,GBR1663R,Chilli Pepper,Sun Fast 3300,Jim Driver,,,,1.031,,
,,GBR979R,Malice,HOD 35,Mike Moxley,,,,1.020,,
,,GBR6890R,Red Ruby,Sun Fast 3300,Christina Wolfe,,,,1.026,,
,,GBR6779R,Kestrel,Sun Fast 3300,Simon Bamford,,,,1.031,,
,,GBR4867L,Purple Mist,Sun Fast 3200,Katherine Cope,,,,0.999,,
,,GBR6899R,Jam,J/99,Wayne Palmer,,,,1.016,,
,,GBR5176L,Black Dog IV,Sun Fast 3300,Stuart Sawyer,,,,1.022,,
,,USA61287,Sea Bear,Sun Fast 3300,Peter Bacon,,,,1.029,,
,,GBR1583R,Asgard,Sun Fast 3300,Ross Farrow,,,,1.030,,
,,GBR1476R,Wavetrain,Channel 32 Custom,Gavin Howe,,,,1.034,,
,,GBR914R,Tigris,Sun Fast 3600,Gavin Howe,,,,1.052,,
,,GBR3759L,Jelenko II,Sun Fast 3600,Jonathan Bevan,,,,1.040,,
,,IOM7003,Polished Manx II,First 40.7,Kuba Szymanski,,,,1.018,,
,,MLT105,Bigfoot,J/105,Robert Nelson,,,,0.996,,
