# 2013 RORC Mainseries IRC Four - Cherbourg Race (Fri 6 Sep 13 19:00:00) - 15 boats - https://www.rorc.org/raceresults/2013/four12.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,95,FRA36568,Le MC Do De Cherbourg,Sun Fast 3200,Bruno James,,7 Sep - 08:11:34,13:11:34,0.999,13:10:47,
2,89,FRA37310,Foggy Dew,JPK 10.10,Noel Racine,,7 Sep - 08:23:44,13:23:44,1.006,13:28:33,
3,85,BEL1383,Wasabi,JPK 10.10,Vincent Willemart,,7 Sep - 08:38:13,13:38:13,1.005,13:42:18,
4,81,FRA6770,Iromiguy,Nicholson 33,Jean Yves Chateau,Olivier Lurton,7 Sep - 10:28:46,15:28:46,0.910,14:05:11,
5,78,NED118,Winsome,S&S 41,Harry Heijst,,7 Sep - 09:58:02,14:58:02,0.988,14:47:15,
6,75,GBR8352,Mefisto,Sigma 38,Kevin Sussmilch,,7 Sep - 10:23:39,15:23:39,0.983,15:07:57,
7,73,FRA9816,Adrenaline,Prism 28,Pierre Viard & Nicolas Siloret,Pierre Viard,7 Sep - 10:48:16,15:48:16,0.982,15:31:12,
8,71,FRA35450,Gwez-Gwern,Symphonie,Jacques Minet,,7 Sep - 13:52:52,18:52:52,0.908,17:08:39,
9,69,GBR2791R,Splash,Swan 38,Patrick Lund,,7 Sep - 13:51:00,18:51:00,0.938,17:40:53,
10,67,GBR8470R,White Knight 6,First 34.7,Royal Armoured Corps Yacht Club,Capt Rob Hammond,7 Sep - 13:09:08,18:09:08,0.986,17:53:53,
11,65,GBR1751T,Spellbinder Of Wytch,Starlight 39,Phoenix Yacht Club,Trevor Nicholls,7 Sep - 16:02:34,21:02:34,0.943,19:50:36,
,10,GBR4300,Imperator,SJ 35,Paul Waxman,,,,0.939,,DNF-Did Not Finish
,10,GBR8030T,Brisbane Star,Bavaria 37,Maurice Futerman,,,,0.963,,DNF-Did Not Finish
,10,FRA3333,Shortgood,First Class 10,Renaud Courbon,2H,,,0.993,,DNF-Did Not Finish
,10,FRA9454,Mojito,Sun Fast 37,Thibault Parent,,,,0.995,,DNF-Did Not Finish
