# The Henri-Lloyd Warsash Spring Championships 2026 - R9 - IRC 2 Champs - April 25 - 19 boats - https://sailwave.com/results/warsashsc/WSC_Champs_26_BG_D3_R3.htm
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,1.0,GBR543R,Karaboudjan,J109,,Aaron Goodman-Simpson,14.08.48,0.53.48,1.000,0.53.48,
2,2.0,GBR3061X,Dynamo,Archambault A35,,Andrew Screech,14.08.30,0.53.30,1.016,0.54.21,
3,3.0,GBR1599R,Jump 2 it,J99,,Kevin Taylor,14.09.05,0.54.05,1.008,0.54.31,
4,4.0,IRL8088,Frank 4,J109,,Oliver Love,14.09.37,0.54.37,1.005,0.54.53,
5,5.0,GBR9091R,Jukebox,J109,,John Smart,14.10.02,0.55.02,0.998,0.54.55,
6,6.0,GBR1250N,Elaine Again,JPK 1010,,Ed Mockridge,14.09.48,0.54.48,1.003,0.54.58,
7,7.0,GBR2709R,Jumping Jellyfish,J109,,David Richards,14.10.08,0.55.08,1.001,0.55.11,
8,8.0,GBR8809R,Mojo Risin',J/109,,Rob Cotterill,14.10.40,0.55.40,1.000,0.55.40,
9,9.0,GBR8848R,Jenie,J/88,,Rosie Berry,14.09.53,0.54.53,1.023,0.56.09,
10,10.0,GBR5831R,Thunderbault,Archambault 31,,Julian James,14.12.31,0.57.31,0.984,0.56.36,
11,11.0,GBR4796L,Joy,JPK 1010,,Steve Butters,14.12.00,0.57.00,0.995,0.56.43,
12,12.0,GBR9066R,Blackjack,J99,,Vernon Bradley,14.11.21,0.56.21,1.007,0.56.45,
13,13.0,GBR6631R,Nightjar,A31,,Jack Banks,14.12.43,0.57.43,0.989,0.57.05,
14,14.0,GBR1415L,Mad Dash,Elan 410,,Sam Tregelles,14.10.52,0.55.52,1.030,0.57.33,
15,15.0,GBR8541R,Jeroboam,J/109,,Stephen Davis,14.13.35,0.58.35,1.003,0.58.46,
16,16.0,GBR3111N,Mostly Harmless,J105,,Natalie Jobling,14.16.39,1.01.39,1.000,1.01.39,
17,20.0,GBR8199,Further West,J99,,Isabelle Waha,,DNC,1.017,,
17,20.0,GBR9109T,RED ARROW,J109 2.10,,Jim Will,,DNC,1.001,,
17,20.0,GBR7385R,Panther,Reflex 38,,James Bathurst,,DNC,1.029,,
