# RORC 2009 IRC 2-Handed - Entries: 50      Races Sailed: 11      Discard: 6 (None) - 50 boats - https://www.rorc.org/raceresults/2009/ms2hos.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
,,FRA9834,Exile/Mirabaud,X 34,Nicolas de la Fourniere,,,,0.995,,
,,GBR722R,Voador,J 105,Simon Curwen,,,,1.014,,
,,GBR979R,Malice,HOD 35,Mike Moxley,,,,1.031,,
,,GBR7716R,Psipsina,HOD 35,John Loden,,,,1.006,,
,,GBR9205R,Diablo-J,J 105,N Martin & P Johnston,,,,1.011,,
,,GBR5236R,Sonic Boom II,Figaro II,Simon Brady,,,,1.093,,
,,GBR9405R,Juliette,J 105,Roderick Knowles,,,,1.012,,
,,GBR993R,Astarte,First 34.7,Nick & Suzi Jones,,,,0.991,,
,,GBR9070R,Change of Course,C&C 115,Keith Gibbs,,,,1.053,,
,,GBR932R,Velocity Girl,VQ 32,Richard Lett,,,,1.035,,
,,CO651,Drumbeat,Contessa 32,Mark Himsworth,,,,0.868,,
,,FRA28305,Just Aquaholix,J 105,Joanna Finn,,,,1.014,,
,,GBR8537R,Jangada Too,J 109,Richard Palmer,,,,1.014,,
,,GBR9140,Nazca II,OOD 34,Mike Wilkinson,,,,0.930,,
,,GBR5963T,Pyxis,X 332,Kirsteen Donaldson,,,,0.960,,
,,GBR7878R,Ding Dong,Stewart 37,Christopher Rustom,,,,1.080,,
,,GBR6905R,Flawless J,J 105,James Heald,,,,1.015,,
,,GBR4455,Knight's Challenge,Sigma 33,Janet Sainsbury,,,,0.902,,
,,FRA28747,Ultreia!,JPK 9.60,Matthias Kracht,,,,0.989,,
,,GBR1013L,Vela Fresca,Dufour 34,Neil Matson,,,,0.981,,
,,GBR4218,Act of Defiance,SJ 35,Paul Davies,,,,0.966,,
,,GBR4343C,Ticktock,JOD 35,John Twiggs,,,,1.020,,
,,GBR5167R,Audacious,JOD 35,A. Caricato & B. Cianci,,,,1.026,,
,,27,Hot Socks,Figaro II,Katie Miller,,,,1.092,,
,,GBR6965T,Musk Ox,X 362,Neville Devonport,,,,1.001,,
,,FRA29777,Alchimiste,JPK 9.60,Mike Murphy,,,,0.997,,
,,NED7514,Sharkos,First 31.7,Dick van Arkel,,,,0.954,,
,,AUS371,Berrimilla 2,Brolga 33,Alex Whitworth,,,,0.874,,
,,GBR723R,Sestina,Oyster Heritage,Mike & Jean Wilczynski,,,,0.893,,
,,IRL1988,Blackjack,Pocock 38,Darren Nicholson,,,,0.939,,
,,NED7374,Picolini,Dehler 32,Martin Lossie,,,,0.891,,
,,GBR4545N,Fortify,SunFast 3200,Christopher Glossop,,,,1.001,,
,,GBR4399,Meka II,Sigma 33,Diana Rabin & Owen Williams,,,,0.914,,
,,GBR8581,Jalfrezi,J 120,Gareth Thomas,,,,1.066,,
,,GBR6501N,White Knuckles,Prima 38,Dominic Hurndall,,,,1.073,,
,,FRA369,Night and Day,J 105,Pascal Loison,,,,1.013,,
,,NED7858,Home of Jazz,VQ 32,Maarten Russchen,,,,1.055,,
,,GBR4243T,Jackdaw,J 39,David Walters,,,,1.058,,
,,GBR5167T,Audacious,JOD 35,A. Caricato & B. Cianci,,,,1.026,,
,,GBR9946T,Momentum,Moody 38,Philip Catterall,,,,0.912,,
,,FRA9058,Fletcher Lynd,X 95,Denis Frederic,,,,0.917,,
,,FRA36507,Galatée,A 35,Jean-Louis Goblet,,,,1.026,,
,,GBR4403,Chichester Psalm,Sigma 33,James Porter,,,,0.914,,
,,GBR5307T,Jessica of Selborne,Najad 520,Geoffrey Hobbs,,,,1.04,,
,,GBR9288Y,Gratifikation,GK 29,Richard Argent,,,,0.871,,
,,GBR5809R,Dasturi,J 109,Emma & Peter Whitby,,,,1.016,,
,,GBR7707T,Fay J,J 105,Paul Griffiths,,,,1.016,,
,,GBR9837T,S X Girl,X 37,John White,,,,1.040,,
,,GBR42,Kerlaria,Class 40,Mike West,,,,1.325,,
,,FRA36513,Max,First 31.7,Jean-Louis Stalain,,,,0.953,,
