# 2019 RORC Mainseries IRC One - Channel Race (Sat 27 Jul 19 09:10:00) - 15 boats - https://www.rorc.org/raceresults/2019/one11.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,95,GBR2664R,Darkwood,J/121,Michael O'Donnell,,160 in 28 Jul - 07:04:44,160 in 21:54:44,1.118,160 in 1 - 00:29:52,
2,89,NED46,Tonnerre De Glen,Ker 46,Dominique Tian,,160 in 28 Jul - 04:42:24,160 in 19:32:24,1.274,160 in 1 - 00:53:38,
3,85,GBR4669R,Pata Negra,Lombard 46,Li An,,160 in 28 Jul - 06:35:27,160 in 21:25:27,1.165,160 in 1 - 00:57:33,
4,81,GBR6889R,Keronimo,Ker 40,Lars And Birgitta Elfverson,,160 in 28 Jul - 06:03:30,160 in 20:53:30,1.198,160 in 1 - 01:01:42,
5,78,GBR3875X,Phosphorus II,A 13,Mark Emerson,,160 in 28 Jul - 06:30:51,160 in 21:20:51,1.179,160 in 1 - 01:10:07,
6,75,FIN11449,Xtra Staerk,XP 44,Arto Linnervuo,,160 in 28 Jul - 07:10:53,160 in 22:00:53,1.147,160 in 1 - 01:15:03,
7,73,GBR4921R,Ino XXX,HH42,James Neville,,160 in 28 Jul - 05:14:15,160 in 20:04:15,1.267,160 in 1 - 01:25:47,
8,71,GBR8248,Incisor,Corby 45,Cowes Race School / James Gair,,160 in 28 Jul - 07:26:53,160 in 22:16:53,1.145,160 in 1 - 01:30:44,
9,69,SWE15,Matador,Elliot 44 Cr,Jonas Grander,,160 in 28 Jul - 06:00:14,160 in 20:50:14,1.237,160 in 1 - 01:46:32,
10,67,H2398,Flyer,One Off,Marc van Bemmel,Gerard Schootstra,160 in 28 Jul - 09:06:14,160 in 23:56:14,1.153,160 in 1 - 03:35:59,
11,65,GBR967R,Amandla Kulu,Hanse 505,Robert Jones,,160 in 28 Jul - 11:24:32,160 in 1 - 02:14:32,1.125,160 in 1 - 05:31:21,
12,63,GBR8872R,Challenger 2,Challenge 72,Tall Ships,Sue Geary,160 in 28 Jul - 10:16:54,160 in 1 - 01:06:54,1.202,160 in 1 - 06:11:18,
13,61,GBR8871R,Challenger 1,Challenge 72,Tall Ships,Peter Stirling,160 in 28 Jul - 11:24:04,160 in 1 - 02:14:04,1.202,160 in 1 - 07:32:02,
14,60,GBR8873R,Challenger 3,Challenge 72,Tall Ships,Gary Rutherford,160 in 28 Jul - 12:53:04,160 in 1 - 03:43:04,1.202,160 in 1 - 09:19:00,
,10,HKG2192,Double Edge,Corby 38,Chris Schram,,,,1.106,,DNF-Did Not Finish
