# 2013 RORC Mainseries IRC Three - Cowes - Dinard - St Malo Race (Fri 12 Jul 13 12:10:00) - 39 boats - https://www.rorc.org/raceresults/2013/three09.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,FRA38895,Night And Day,JPK 10.10,Pascal Loison,2H,14 Jul - 10:49:32,1 - 22:39:32,1.009,1 - 23:04:44,
2,94,GBR1509R,JIBE,J/109,Robin Taunt,Fergus Roper,14 Jul - 11:39:15,1 - 23:29:15,1.013,2 - 00:06:17,
3,90,FRA34634,Prime Time,A 35,M Alperovitch & J Huillard,Marc Alperovitch,14 Jul - 10:44:30,1 - 22:34:30,1.033,2 - 00:06:43,
4,86,FRA38902,Raging Bee,JPK 10.10,Louis-marie Dussere,2H,14 Jul - 12:00:12,1 - 23:50:12,1.009,2 - 00:16:02,
5,83,FRA34978,Ame-Hasle,A 35,Franck-yves Escoffier,,14 Jul - 10:59:20,1 - 22:49:20,1.034,2 - 00:24:51,
6,80,GBR704R,Philosophie IV,First 40.7,Nicolas Gaumont-Prat,2H,14 Jul - 11:36:55,1 - 23:26:55,1.039,2 - 01:17:57,
7,78,GBR626,Old Mother Gun,Humphreys 40,Philip Farrands,,14 Jul - 12:09:28,1 - 23:59:28,1.044,2 - 02:06:10,
8,76,FRA9446,Felix,IMX 38,Marc Noel,,14 Jul - 17:52:30,2 - 05:42:30,1.010,2 - 06:14:44,
9,74,FRA37588,So What,JPK 10.10,Chris Schram,2H,14 Jul - 20:54:09,2 - 08:44:09,1.012,2 - 09:25:00,
10,72,GBR7580T,Truant,HOD 35,Stephen Thomas,,14 Jul - 22:43:20,2 - 10:33:20,1.008,2 - 11:01:26,
11,70,GBR2932L,Bold Eagle,Bavaria 40s,Surrey Sailing/Warwick Bookman,Chris Glanton,14 Jul - 22:58:37,2 - 10:48:37,1.016,2 - 11:45:04,
12,68,GBR1007L,Diamonds Are Forever,Elan 37,Girls for Sail,Susan Glenny,14 Jul - 23:25:28,2 - 11:15:28,1.018,2 - 12:19:28,
13,66,GBR8368T,Adelaide Star,Bavaria 44,Commodore Yachting,David Robson,14 Jul - 23:32:10,2 - 11:22:10,1.039,2 - 13:41:05,
,10,GBR9205R,Diablo-J,J/105,Nick Martin,2H,,,1.007,,DNF-Did Not Finish
,10,GBR8809R,Inspara,J/109,Tor McLaren,,,,1.010,,DNF-Did Not Finish
,10,FRA36541,Sérénade,JNP 12 Biquille,Denis Villotte,2H,,,1.011,,DNF-Did Not Finish
,10,GBR6709R,J-T'Aime,J/109,Christopher Palmer,,,,1.013,,DNF-Did Not Finish
,10,GBR918R,Jarhead,J/109,Greg Nasmyth,,,,1.014,,DNF-Did Not Finish
,10,GBR2091R,Je Vante,J/109,Todd Wells,,,,1.014,,DNF-Did Not Finish
,10,GBR8529R,Jazzy Jellyfish,J/109,Kevin Armstrong,,,,1.016,,DNF-Did Not Finish
,10,GBR3135L,Jumbuck,J/109,John Allison,,,,1.017,,DNF-Did Not Finish
,10,FRA25613,Firouzeh 4,J/109,Francois Boue,,,,1.018,,DNF-Did Not Finish
,10,GBR979R,Malice,HOD 35,Mike Moxley,2H,,,1.023,,DNF-Did Not Finish
,10,FRA21963,Matador,A 35,Herve Barret,,,,1.025,,DNF-Did Not Finish
,10,GBR2460L,Run,First 35,David Mossman,Stephen Hacking,,,1.025,,DNF-Did Not Finish
,10,GBR9109T,Red Arrow,J/109,RAFSA,Sqn Ldr Simon Watson,,,1.026,,DNF-Did Not Finish
,10,GBR1575L,Pure Attitude,X 37,Pure Latitude Ltd,Martin Gray,,,1.028,,DNF-Did Not Finish
,10,FRA34983,Decatur,A 35,Yves Passat,,,,1.030,,DNF-Did Not Finish
,10,FRA35112,Pen Tach,A 35,Jean-yves Daden,,,,1.030,,DNF-Did Not Finish
,10,GBR4973T,Exocet,IMX 38,Janet Pilkington,Mike Sisley,,,1.032,,DNF-Did Not Finish
,10,FRA37842,Major Tom,Dufour 36 P,Fabrice Tropres,,,,1.034,,DNF-Did Not Finish
,10,GBR9070R,Change of Course,C & C 115,Keith Gibbs,,,,1.035,,DNF-Did Not Finish
,10,BEL6263,Pinta92,One Tonner,Dirk Hellemans,,,,1.037,,DNF-Did Not Finish
,10,GBR9863,In X Celsis,X 119,Peter Jones,,,,1.037,,DNF-Did Not Finish
,10,FRA9624,Rhapsodie V,J/120,Jean Jacques Godet,,,,1.040,,DNF-Did Not Finish
,10,BEL613,Rackham,JPK 110,Eric van Campenhout,,,,1.041,,DNF-Did Not Finish
,10,FRA34646,Lann Ael,JPK 110,Didier Gaudoux,,,,1.045,,DNF-Did Not Finish
,10,GBR9383R,Intuition,Reflex 38,Yuri Fadeev,,,,1.045,,DNF-Did Not Finish
,10,GBR8972T,Inseyandra,Bavaria 46 C,Solent Sail Ltd,Gordon J Pownall,,,1.050,,DNF-Did Not Finish
