# Vice Admiral's Cup - Performance 40 - Entries: 11      Races Sailed: 6      Discard: 1 (None) - 11 boats - https://www.rorc.org/raceresults/2019/vac-performancefortyos.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
,,GBR7122X,Juno,J/122e,Christopher Daniel,,,,1.088,,
,,GBR8888N,Cobra,King 40,Michael Blair,,,,1.113,,
,,GBR5940R,Nifty,King 40,Roger Bowden,,,,1.115,,
,,GBR3213L,Dusty P,First 40,Richard Patrick,,,,1.076,,
,,GBR42N,La Réponse,First 40,Andrew McIrvine,,,,1.080,,
,,GBR4013R,Sailplane,First 40,Rob Bottomley,,,,1.081,,
,,GBR236R,Rumbleflurg,Ker 39,Ian Schenkel,,,,1.116,,
,,GBR8405R,Olympia's Tigress,First 40,Susan Glenny,,,,1.078,,
,,IRL39000,Zero II,Mills 39,Cowes Race School,,,,1.111,,
,,GBR79R,Skermisher,Custom,Jonathan Blanshard & Garfield Smith,,,,1.090,,
,,GBR888X,Sunrise,Jpk 11.80,Thomas Kneen,,,,1.099,,
