# 2012 IRC National Championship IRC Three - Entries: 13      Races Sailed: 7      Discard: 1 (None) - 13 boats - https://www.rorc.org/raceresults/2012/ircnats-threeos.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
,,GBR1250N,Strait Dealer,JPK 1010,David Franks,Graham Sunderland,,,1.014,,
,,GBR1405R,Elaine,Elan 37,Mike Bridges,,,,1.009,,
,,GBR73R,Salvo,Corby 33,Peter Morton,,,,1.044,,
,,NED7275,Captain Jack,J/109,Bert Visser,,,,1.023,,
,,GBR1010N,Mat 1010,Mat 1010,Peter Morton,,,,1.042,,
,,FRA35080,Dunkerque Plaisance,A 35,Hubert Dereux,Philippe Bourgeois,,,1.031,,
,,GBR2187L,Stiletto,First 35,J Barrett & P Woodward,,,,1.016,,
,,GBR4909R,High Tension,J/109,Andrew Given,,,,1.015,,
,,GBR979R,Malice,HOD 35,Mike Moxley,,,,1.026,,
,,GBR516R,White Rose,Elan 40,Bob Jackson,,,,1.019,,
,,GBR585R,Thrust,Prism 28,Malcolm Struth,,,,1.012,,
,,GBR6895T,Xcitable,X 362,Peter Hodgkinson,,,,1.010,,
,,GBR1242R,Yeoman of Wight,J/109,British Keelboat Academy,,,,1.029,,
