# 2021 RORC Spring Series - IRC - Entries: 36      Races Sailed: 3 (None) - 36 boats - https://www.rorc.org/raceresults/2021/springseries-ircos.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
,,GBR6712R,Dawn Treader,JPK 1180,Ed Bell,,,,1.099,,
,,GBR562R,Sailplane 3,MAT 12,Rob Bottomley,,,,1.131,,
,,GBR2664R,Darkwood,J/121,Michael O'Donnell,,,,1.115,,
,,GBR851R,Cracklin Rosie,Corby 40,Steven Anderson,,,,1.109,,
,,GBR4921R,Ino XXX,HH42,James Neville,,,,1.270,,
,,GBR8809R,Mojo Risin',J/109,J/109 Racing Limited,,,,1.007,,
,,GBR9922T,R&W,J/122,Andy Theobald,,,,1.078,,
,,GBR1544R,Simples,XP 44,Demian Smith,,,,1.123,,
,,GBR363R,Whooper,One Off,Giovanni Belgrano,,,,0.930,,
,,GBR8529R,Jazzy Jellyfish,J/109,Kevin Armstrong,,,,1.008,,
,,GBR8409R,Galahad Of Cowes,First 40,Ronan Banim,,,,1.074,,
,,GBR236R,Rumbleflurg,Ker 39,David Cummins,,,,1.115,,
,,GBR8274,Machismo II,Sigma 38,Tim Levett,,,,0.980,,
,,GBR7727T,Musketeer,First 40.7,Phillip Holroyd Smith,,,,1.031,,
,,GBR1575L,Pure Attitude,X 37,Martin Gray,,,,1.022,,
,,GBR7951R,Skylander,First 40,Yuri Fadeev,,,,1.076,,
,,GBR716,Justify,J/80,Ross Bowdler,,,,0.946,,
,,FRA8051,Blt,Quarter Ton Bullit Fauroux,Sam Laidlaw,,,,0.911,,
,,GBR1815X,Fujitsu British Soldier,Sun Fast 3600,ASA,,,,1.050,,
,,GBR4669R,Pata Negra,Lombard 46,Andrew Hall,,,,1.154,,
,,GBR809T,Eager,Nicholson 55,Chris Cecil-Wright,,,,1.060,,
,,GBR1428R,Rogan Josh,First 40,Richard Powell,,,,1.070,,
,,GBR26R,Morning After,S&S 34,Stuart Greenfield,,,,0.933,,
,,GBR8611R,Kestrel,J/111,Simon Bamford,,,,1.096,,
,,GBR2947L,Jackdaw,J/92,David Ward,,,,0.957,,
,,GBR888X,Sunrise,JPK 1180,Thomas Kneen,,,,1.097,,
,,GBR7122X,Juno,J/122E,Christopher Daniel,,,,1.092,,
,,GBR6508T,Gr8 Banter,Mustang Mk2,Ian Handley,,,,0.911,,
,,GBR8888N,Cobra,King 40,Michael Blair,,,,1.115,,
,,GBR9405R,Juliette,J/105,Dan Rigden,,,,0.999,,
,,GBR3759,Jelenko II,Sun Fast 3600,Jonathan Bevan,,,,1.044,,
,,GBR9863,In X Celsis,X-119,Guy Raynes,,,,1.035,,
,,GBR5440R,Thunderbird,Farr 40,Rupert Wolloshin,,,,1.157,,
,,SWE450,Emily Of Cowes,Elan 450,Richard Oswald,,,,1.047,,
,,GBR419R,Redshift,Farr GP42,Ed Fishwick,,,,1.258,,
,,GBR520X,Tala,Botin IRC 52,David Collins,,,,1.414,,
