# 2014 RORC Mainseries IRC Overall - East Coast Race (Sat 19 Jul 14) - 10 boats - https://www.rorc.org/raceresults/2014/ircoverall09.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,90,NED46,Tonnerre de Breskens 3,Ker 46,Piet Vroon,,,14:29:19,1.274,18:27:31,
2,84,GBR8191R,British Soldier,J/111,Army Sailing Association,,,18:00:05,1.096,19:43:46,
3,80,GBR4950,Woozle Hunter,Sigma 33 OOD,Ian Ivermee,,,1 - 01:27:06,0.912,23:12:43,
4,76,GBR3015,McGregor IV,MG 38,Peter Ward,Derek Brown,,1 - 01:07:43,0.974,1 - 00:28:31,
5,73,GBR9873,Sapphire,,M & K Brooks,,,1 - 01:48:35,0.979,1 - 01:16:04,
,10,GBR3725,Dark and Stormy,Tartan 10 mod,Richard Bailey,,,,0.947,,DNF-Did Not Finish
,10,GBR9752,Jabberwock,,Geoff Payne,,,,0.976,,DNF-Did Not Finish
,10,GBR8354,Spirit,Sigma 38,Paul and Claire Scott,,,,0.981,,DNF-Did Not Finish
,10,GBR9462R,Amazon,Sun Fast 3200,Tony and Chuffy Merewether,,,,1.001,,DNF-Did Not Finish
,10,GBR9707R,Inn Spirit,Humphreys 11m,Alan Bartlett,,,,1.035,,DNF-Did Not Finish
