# 2020 IRC Two-Handed Nationals - Entries: 22      Races Sailed: 4      Discard: 1 (None) - 22 boats - https://www.rorc.org/raceresults/2020/twohandednationals-2hos.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
,,GBR6890R,Gentoo,Sun Fast 3300,James Harayda,,,,1.026,,
,,GBR2729R,Jellyfish,Sun Fast 3600,Gareth Edmondson,,,,1.044,,
,,GBR9779T,Jago,J/109,Mike Yates,,,,1.010,,
,,GBR958R,Jangada,Jpk 10.10,Richard Palmer,,,,1.001,,
,,GBR112X,Xanaboo,J/112e,Bruce Huber,,,,1.046,,
,,GBR1663R,Chilli Pepper,Sun Fast 3300,Jim Driver,,,,1.032,,
,,GBR7805R,Jin Tonic,J/105,Stephen Roberts,,,,1.003,,
,,GBR8657L,Bellino,Sun Fast 3600,Rob Craigie,,,,1.041,,
,,GBR5189T,J'Ronimo,J 92,David Greenhalgh,,,,0.956,,
,,GBR795R,Diablo,Sun Fast 3600,Nick Martin,,,,1.031,,
,,GBR914R,Tigris,Sun Fast 3600,Gavin Howe,,,,1.052,,
,,GBR8956R,Mzungu,Sun Fast 3200,Tony White,,,,0.994,,
,,GBR23806,Finola,Swan 36,Christopher Frost,,,,0.901,,
,,GBR5131L,Silver Fox,Foxterrier 22,Richard Cooke,,,,0.800,,
,,GBR7041R,Anticipation,First 40.7,Peter Newlands,,,,1.032,,
,,GBR4867L,Purple Mist,Sun Fast 3200,Katherine Cope,,,,1.002,,
,,GBR9595,Scallywag,Hunter Impala,Justin Philipps,,,,0.885,,
,,GBR9573,Voodoo,Hunter Impala,Peter Rouse,,,,0.878,,
,,GBR5488R,Jongleur,J/88,Richard Cooper,,,,1.033,,
,,GBR3111N,Mostly Harmless,J/105,Tom Hayhoe and Natalie Jobling,,,,1.004,,
,,GBR8054Y,Smile,Formula One,Jeremy White,,,,0.851,,
,,GBR9203R,Wee Bear,Projection 920,Nick Lee,,,,0.985,,
