# 2015 RORC Mainseries IRC Two-Handed - North Sea Race (Fri 15 May 15 10:45:00) - 18 boats - https://www.rorc.org/raceresults/2015/twohanded03.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,98,NED9111,Xcentric Ripper,J/111,John van der Starre & Robin Verhoef,,16 May - 12:15:40,1 - 01:30:40,1.075,1 - 03:25:28,
2,92,IRL3208,Blizzard Of Uz,Sun Fast 3200,Erik Mayer-Martenson,,16 May - 14:07:15,1 - 03:22:15,1.002,1 - 03:25:32,
3,88,GBR3657L,Bellino,Sun Fast 3600,Rob Craigie,,16 May - 13:13:09,1 - 02:28:09,1.039,1 - 03:30:05,
4,84,NED7244,Junique,J/122,Chris Revelman & Pascal Bakker,,16 May - 12:57:46,1 - 02:12:46,1.089,1 - 04:32:45,
5,81,GBR8532R,Firestorm,J/109,Wim van Slooten,,16 May - 15:12:03,1 - 04:27:03,1.012,1 - 04:47:32,
6,78,NED8949,Avanti,Grand Soleil 43,Chris Stouten,,16 May - 13:21:56,1 - 02:36:56,1.086,1 - 04:54:16,
7,76,NED6586,Maverick,J/120,Chris Schram,,16 May - 14:30:17,1 - 03:45:17,1.055,1 - 05:16:52,
8,74,GBR3898,Ruffian,Sigma 36,Pete McIntyre,,16 May - 17:28:58,1 - 06:43:58,0.954,1 - 05:19:09,
9,72,GBR1513L,Il Corvo,Grand Soleil 43,Astrid De Vin,,16 May - 13:43:46,1 - 02:58:46,1.103,1 - 05:45:30,
10,70,GBR1293R,Batfish,J/133,Bart Desaunois,,16 May - 13:56:09,1 - 03:11:09,1.104,1 - 06:00:47,
11,68,NED7975,Blue June,Standfast 43,Henk Zomer,,16 May - 17:05:38,1 - 06:20:38,1.003,1 - 06:26:06,
12,66,GBR8876T,Panther,J/105,Yvonne Beusker,,16 May - 17:14:35,1 - 06:29:35,1.000,1 - 06:29:35,
13,64,NED8549,Harkelijn,Duetta 94/Dehler 31,Hendrik Harkema,,16 May - 22:56:59,1 - 12:11:59,0.864,1 - 07:16:36,
,10,NED7800,Arethusa,J/109,Kees Mijs,,,,1.011,,DNF-Did Not Finish
,10,NED8202,Joost & Vrolijk,Dehler 36 JV,Joost Nederkoorn,,,,1.011,,DNF-Did Not Finish
,10,BEL7117,Tyfoon VI,One-Off,Luc Dewulf,,,,1.031,,DNF-Did Not Finish
,10,NED8248,RoaringX,X 41,Ad Lagendijk,,,,1.101,,DNF-Did Not Finish
,10,NED8843,Luctor3,Sydney Yachts Gts43,Wouter Hermsen,,,,1.186,,DNF-Did Not Finish
