# 2017 RORC Mainseries IRC Two-Handed - Rolex Fastnet Race (Sun 6 Aug 17) - 57 boats - https://www.rorc.org/raceresults/2017/twohanded12.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,FRA38895,Night And Day,JPK 10.10,Pascal Loison,,10 Aug - 16:53:52,4 - 05:33:52,1.003,4 - 05:52:09,
2,94,NED9112,Ajeto!,J/122e,Robin Verhoef & John Van Der Starre,,10 Aug - 12:57:34,4 - 00:57:34,1.071,4 - 07:50:37,
3,90,GBR3657L,Bellino,Sun Fast 3600,Rob Craigie,,10 Aug - 16:19:04,4 - 04:39:04,1.039,4 - 08:34:35,
4,86,GBR4436,Blue Note,JPK 10.80,Stephen Hopson,,10 Aug - 15:51:58,4 - 04:11:58,1.046,4 - 08:48:31,
5,83,GBR5936R,Game On,Sun Fast 3600,Ian Hoddle,,10 Aug - 17:01:56,4 - 05:21:56,1.039,4 - 09:19:08,
6,80,GBR419R,Redshift Reloaded,Sun Fast 3600,Ed Fishwick,,10 Aug - 16:16:56,4 - 04:36:56,1.048,4 - 09:26:42,
7,78,FRA34628,Vaimiti,A 35,Yann Level,,10 Aug - 19:14:45,4 - 07:34:45,1.026,4 - 10:16:20,
8,76,NED7244,Junique Raymarine Sailing Team,J/122,Chris Revelman & Pascal Bakker,,10 Aug - 15:26:57,4 - 03:26:57,1.071,4 - 10:30:36,
9,74,FRA25709,Cheyenne II,JPK 960,Alexis Bondu,,10 Aug - 23:44:13,4 - 12:24:13,0.983,4 - 10:33:39,
10,72,GBR958R,Jangada,JPK 10.10,Richard Palmer,,10 Aug - 22:19:43,4 - 10:39:43,1.006,4 - 11:18:07,
11,70,GBR9205R,Diablo-j,J/105,Nick Martin,,10 Aug - 22:45:57,4 - 11:05:57,1.004,4 - 11:31:39,
12,68,GBR8532R,Firestorm,J/109,Wim van Slooten,,10 Aug - 23:10:48,4 - 11:30:48,1.017,4 - 13:20:28,
13,66,GBR85,Seacat Challenger,Figaro II,Alan Roberts,,10 Aug - 17:56:47,4 - 05:56:47,1.073,4 - 13:23:19,
14,65,FRA3333,Shortgood,First Class 10,Renaud Courbon and Emmanuel Winsback,,11 Aug - 02:40:56,4 - 15:20:56,0.988,4 - 14:00:46,
15,64,GBR9405R,Juliette,J/105,Jerry Freeman,,11 Aug - 01:25:38,4 - 13:45:38,1.004,4 - 14:11:59,
16,63,MLT105,Bigfoot,J/105,Robert Nelson,,11 Aug - 02:03:07,4 - 14:43:07,1.001,4 - 14:49:46,
17,62,GBR8956T,Tarantella,JOD 35,William Mumford,,11 Aug - 03:19:40,4 - 15:39:40,0.996,4 - 15:12:52,
18,61,IRL3208,Blizzard Of Uz,Sun Fast 3200,Erik Mayer-martenson,,11 Aug - 03:10:30,4 - 15:50:30,0.995,4 - 15:16:57,
19,60,21,The Offshore Academy 21,Figaro II,Joan Mulloy,,10 Aug - 20:07:33,4 - 08:07:33,1.069,4 - 15:18:38,
20,59,GBR6664R,Fastrak XI,Sun Fast 3200 R2,Nigel De Quervain Colley,,11 Aug - 02:37:35,4 - 14:57:35,1.004,4 - 15:24:13,
21,58.5,GBR536,Zest,Humphreys 36 Custom,Kathryn Schmitt,,11 Aug - 03:15:55,4 - 15:55:55,0.996,4 - 15:29:03,
22,58,GBR8537R,2hard,J/109,Martin Hart/Harald Wolf,,11 Aug - 02:25:01,4 - 14:45:01,1.007,4 - 15:31:32,
23,57.5,NED6586,Maverick,J/120,Chris Schram,,10 Aug - 21:54:00,4 - 09:54:00,1.054,4 - 15:37:07,
24,57,GBR2729R,Jellyfish,Sun Fast 3600,David Richards,,10 Aug - 22:19:03,4 - 10:39:03,1.047,4 - 15:39:48,
25,56.5,GBR979R,Malice,HOD 35,Mike Moxley,,11 Aug - 01:01:19,4 - 13:21:19,1.022,4 - 15:45:40,
26,56,GBR8643T,Arcsine,Arcona 370,Kathy Claydon,,11 Aug - 02:30:08,4 - 14:50:08,1.009,4 - 15:49:59,
27,55.5,GBR735R,Saltheart,HOD 35,Christopher Williams,,11 Aug - 02:56:49,4 - 15:36:49,1.002,4 - 15:50:13,
28,55,GBR8956R,Mzungu,Sun Fast 3200,Tony White,,11 Aug - 03:32:38,4 - 16:12:38,0.997,4 - 15:52:26,
29,54.5,FRA38308,Kurun,JPK 10.10,Patrick Paul,,11 Aug - 03:00:31,4 - 15:20:31,1.005,4 - 15:53:55,
30,54,GBR5963T,Pyxis,X 332,Kirsteen Donaldson,,11 Aug - 08:57:03,4 - 21:37:03,0.956,4 - 16:26:32,
31,53.5,IRL6695,Eos,X 362 Sport,Cian McCarthy,,11 Aug - 02:59:18,4 - 15:19:18,1.019,4 - 17:26:12,
32,53,NOR11500,Promineo Racing,J/109,Leif Arild Asheim,,11 Aug - 02:39:28,4 - 14:59:28,1.023,4 - 17:32:38,
33,52.5,GBR8380R,Elixir,Elan 380,Felicity Gabbay,,11 Aug - 03:18:24,4 - 15:38:24,1.022,4 - 18:05:46,
34,52,GBR5253,Silver Shamrock,Shamrock 1/2 Ton Prototype,Stuart Greenfield,,11 Aug - 20:43:25,5 - 09:23:25,0.887,4 - 18:46:09,
35,51.5,FRA43653,Nirvana,Sun Fast 3200,Keith Thompson,,11 Aug - 07:39:26,4 - 20:19:26,0.995,4 - 19:44:32,
36,51,ANT486,Sleeper 11,J/11s,Jonty Layfield,,11 Aug - 02:00:36,4 - 14:20:36,1.049,4 - 19:45:01,
37,50.5,GBR9604R,Nunatak,J/120,Elin Haf Davies and Chris Frost,,11 Aug - 02:10:32,4 - 14:10:32,1.056,4 - 20:20:43,
38,50,GBR1174L,Taika,J/105,Stuart Rhys-williams,,11 Aug - 08:09:36,4 - 20:29:36,1.004,4 - 20:57:34,
39,49.5,GBR4272L,Grace,Rm 1270,Chris Lewns,,11 Aug - 05:26:43,4 - 17:46:43,1.028,4 - 20:57:52,
40,49,GBR3936,British Beagle,Sigma 36,Charles Emmett,,11 Aug - 16:57:43,5 - 05:37:43,0.936,4 - 21:35:18,
41,48.5,IRL3492,Big Deal,Dehler 34 Top-nova,Conor Dillon,,11 Aug - 18:19:54,5 - 06:59:54,0.927,4 - 21:43:39,
42,48,NED6667,J-quattro,J/120,Joost van der Wal,,11 Aug - 02:30:44,4 - 14:30:44,1.067,4 - 21:55:00,
43,47.5,GBR7716R,Psipsina,HOD 35,Bernie Bingham,,11 Aug - 11:03:15,4 - 23:43:15,0.998,4 - 23:28:53,
44,47,GBR1013L,Vela Fresca,Dufour 34,Neil Matson,,11 Aug - 18:20:50,5 - 07:00:50,0.951,5 - 00:47:25,
45,46.5,GBR715R,Pegasus Of Northumberland,Open 50,Ross Hobson,,9 Aug - 21:27:41,3 - 08:47:41,1.497,5 - 00:56:59,
46,46,GBR3789L,Just Plain Krazy,JPK 10.10,Stephen Hills,,10 Aug - 23:02:13,5 - 09:14:40,0.999,5 - 09:06:55,SP-20% Time Penalty SI 26.2.3
47,45.5,GBR4077L,Silver Bear,Najad 361,Stephen Taylor,,12 Aug - 08:45:13,5 - 21:25:13,0.924,5 - 10:40:20,
48,45,GBR8876T,Panther,J/105,Yvonne Beusker & Edith Voskamp,Yvonne Beusker & Erik van Vuuren,11 Aug - 00:25:52,5 - 10:55:02,1.001,5 - 11:02:53,SP-20% Time Penalty SI 26.2.3
49,44.5,IOM8931R,Aj Wanderlust,Sun Odyssey 45.2,Charlene Howard,,11 Aug - 23:49:48,5 - 12:29:48,0.990,5 - 11:10:18,
50,44,GBR7657T,Castalia,Sun Fast 37,Andrew Butler,,12 Aug - 02:43:46,5 - 15:23:46,0.979,5 - 12:33:10,
,10,GBR1399R,Dreamcatcher,Sun Odyssey 37,James Mansell,,,,0.923,,DNF-Did Not Finish
,10,GBR4073T,Grand Slam,Westerly Typhoon,Mike Croxall,,,,0.953,,DNF-Did Not Finish
,10,GBR7474R,Exehibitionist,X 34,Rick Newcombe,,,,0.997,,DNF-Did Not Finish
,10,GBR8805R,Jaldi,J/105,Mary Sturgess,,,,1.000,,DNF-Did Not Finish
,10,GBR9401R,Java Decosol,J/105,Joe & Rob Bottomley,,,,1.000,,DNF-Did Not Finish
,10,FRA15012,Ginger,JOD 35,Alan Thornewill,,,,1.002,,DNF-Did Not Finish
,10,FRA43657,Fleur Du Sud,JPK 10.10,Patrick Molitor,,,,1.003,,DNF-Did Not Finish
